Parsing alignment lagomorpha_mt12cp ... ... 
Length alignment: 7198
Number of taxa: 88
Taxon: brachylagus_idahoensis | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: ochotona_rutila | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: ochotona_thibetana | Num gaps: 5522 | Missing taxon?: N | % Missing data: 76.7157543762156
Taxon: ochotona_thibetana_nangqenica~ | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: ochotona_thomasi | Num gaps: 5522 | Missing taxon?: N | % Missing data: 76.7157543762156
Taxon: ochotona_turuchanensis | Num gaps: 6460 | Missing taxon?: N | % Missing data: 89.747151986663
Taxon: oryctolagus_cuniculus | Num gaps: 4 | Missing taxon?: N | % Missing data: 0.0555709919422062
Taxon: oryctolagus_cuniculus_algirus | Num gaps: 7198 | Missing taxon?: Y | % Missing data: 100
Taxon: pentalagus_furnessi | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: pronolagus_crassicaudatus | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: pronolagus_randensis | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: pronolagus_rupestris | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: pronolagus_saundersiae | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: romerolagus_diazi | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: sylvilagus_aquaticus | Num gaps: 6448 | Missing taxon?: N | % Missing data: 89.5804390108363
Taxon: sylvilagus_audubonii | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: sylvilagus_brasiliensis | Num gaps: 7198 | Missing taxon?: Y | % Missing data: 100
Taxon: sylvilagus_floridanus | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: sylvilagus_nuttallii | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: sylvilagus_obscurus | Num gaps: 6442 | Missing taxon?: N | % Missing data: 89.497082522923
Taxon: sylvilagus_palustris | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: sylvilagus_transitionalis | Num gaps: 6454 | Missing taxon?: N | % Missing data: 89.6637954987496
Taxon: ornithorhynchus_anatinus | Num gaps: 462 | Missing taxon?: N | % Missing data: 6.41844956932481
Taxon: zaglossus_bruijni | Num gaps: 462 | Missing taxon?: N | % Missing data: 6.41844956932481
Taxon: tachyglossus_aculeatus | Num gaps: 462 | Missing taxon?: N | % Missing data: 6.41844956932481

Number of missing taxa = 6
Number of present taxa = 82
Total number of taxa = 88

Eq: num_gaps / ( num_taxa * len_aln ) --> (43188+370046)/((6+82)*7198)
Avg missing data before removing missing taxa = 0.652381343302432 = 65.2381343302432%
Eq: num_gaps / ( num_taxa * len_aln ) --> 370046/(82*7198)
Avg missing data after removing missing taxa = 0.626945831836757 = 62.6945831836757%

