Parsing alignment ctenohystrica_nt3cp ... ... 
Length alignment: 16778
Number of taxa: 210
Taxon: abrocoma_bennettii | Num gaps: 11004 | Missing taxon?: N | % Missing data: 65.5858862796519
Taxon: ctenomys_haigi | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_lami | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_latro | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_leucodon | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_lewisi | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_magellanicus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_maulinus | Num gaps: 16357 | Missing taxon?: N | % Missing data: 97.4907617117654
Taxon: ctenomys_mendocinus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_minutus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_nattereri | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_occultus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_opimus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_pearsoni | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_perrensi | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_porteousi | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_pundti | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_rionegrensis | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_roigi | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_saltarius | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_scagliai | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_sericeus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_sociabilis | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_steinbachi | Num gaps: 16483 | Missing taxon?: N | % Missing data: 98.2417451424485
Taxon: ctenomys_talarum | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_torquatus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_tuconax | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_tucumanus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: cuniculus_paca | Num gaps: 15362 | Missing taxon?: N | % Missing data: 91.5603766837525
Taxon: cuniculus_taczanowskii | Num gaps: 10845 | Missing taxon?: N | % Missing data: 64.6382167123614
Taxon: cuscomys_ashaninka~ | Num gaps: 15902 | Missing taxon?: N | % Missing data: 94.7788771009655
Taxon: dactylomys_boliviensis | Num gaps: 15754 | Missing taxon?: N | % Missing data: 93.8967695792109
Taxon: dactylomys_dactylinus | Num gaps: 15907 | Missing taxon?: N | % Missing data: 94.8086780307546
Taxon: dasyprocta_fuliginosa | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: dasyprocta_leporina | Num gaps: 16093 | Missing taxon?: N | % Missing data: 95.9172726189057
Taxon: dasyprocta_punctata | Num gaps: 11354 | Missing taxon?: N | % Missing data: 67.6719513648826
Taxon: dinomys_branickii | Num gaps: 10948 | Missing taxon?: N | % Missing data: 65.252115866015
Taxon: diplomys_labilis | Num gaps: 16529 | Missing taxon?: N | % Missing data: 98.5159136965073
Taxon: dolichotis_patagonum | Num gaps: 16014 | Missing taxon?: N | % Missing data: 95.4464179282394
Taxon: dolichotis_patagonum_centricola | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: dolichotis_salinicola | Num gaps: 16510 | Missing taxon?: N | % Missing data: 98.4026701633091
Taxon: echimys_chrysurus | Num gaps: 14569 | Missing taxon?: N | % Missing data: 86.8339492192156
Taxon: erethizon_dorsatum | Num gaps: 9870 | Missing taxon?: N | % Missing data: 58.8270354035046
Taxon: euryzygomatomys_spinosus | Num gaps: 15379 | Missing taxon?: N | % Missing data: 91.6616998450352
Taxon: fukomys_amatus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_anselli | Num gaps: 15491 | Missing taxon?: N | % Missing data: 92.329240672309
Taxon: fukomys_bocagei | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_choma | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_darlingi | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_foxi | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_kafuensis | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_mechowii | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_micklemi | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_ochraceocinereus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_whytei | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_whytei_occlusus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: galea_musteloides | Num gaps: 15759 | Missing taxon?: N | % Missing data: 93.9265705089999
Taxon: galea_musteloides_leucoblephara | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: galea_spixii | Num gaps: 16511 | Missing taxon?: N | % Missing data: 98.4086303492669
Taxon: geocapromys_brownii | Num gaps: 16066 | Missing taxon?: N | % Missing data: 95.7563475980451
Taxon: geocapromys_ingrahami | Num gaps: 15840 | Missing taxon?: N | % Missing data: 94.4093455715818
Taxon: georychus_capensis | Num gaps: 16496 | Missing taxon?: N | % Missing data: 98.3192275598999
Taxon: heliophobius_argenteocinereus | Num gaps: 15406 | Missing taxon?: N | % Missing data: 91.8226248658958
Taxon: heterocephalus_glaber | Num gaps: 6963 | Missing taxon?: N | % Missing data: 41.5007748241745
Taxon: hoplomys_gymnurus | Num gaps: 12413 | Missing taxon?: N | % Missing data: 73.9837882941948
Taxon: hydrochoerus_hydrochaeris | Num gaps: 11243 | Missing taxon?: N | % Missing data: 67.0103707235666
Taxon: hystrix_africaeaustralis | Num gaps: 14657 | Missing taxon?: N | % Missing data: 87.3584455835022
Taxon: hystrix_brachyura | Num gaps: 11699 | Missing taxon?: N | % Missing data: 69.7282155203242
Taxon: hystrix_cristata | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: isothrix_barbarabrownae | Num gaps: 15889 | Missing taxon?: N | % Missing data: 94.7013946835141
Taxon: isothrix_bistriata | Num gaps: 15777 | Missing taxon?: N | % Missing data: 94.0338538562403
Taxon: isothrix_orinoci | Num gaps: 16129 | Missing taxon?: N | % Missing data: 96.1318393133866
Taxon: isothrix_pagurus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: isothrix_sinnamariensis | Num gaps: 15788 | Missing taxon?: N | % Missing data: 94.0994159017761
Taxon: kannabateomys_amblyonyx | Num gaps: 16442 | Missing taxon?: N | % Missing data: 97.9973775181786
Taxon: kerodon_acrobata | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: kerodon_rupestris | Num gaps: 16272 | Missing taxon?: N | % Missing data: 96.9841459053522
Taxon: lagidium_viscacia | Num gaps: 16507 | Missing taxon?: N | % Missing data: 98.3847896054357
Taxon: lagostomus_maximus | Num gaps: 16497 | Missing taxon?: N | % Missing data: 98.3251877458577
Taxon: laonastes_aenigmamus | Num gaps: 12341 | Missing taxon?: N | % Missing data: 73.554654905233
Taxon: lonchothrix_emiliae | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: makalata_didelphoides | Num gaps: 15358 | Missing taxon?: N | % Missing data: 91.5365359399213
Taxon: makalata_macrura | Num gaps: 15758 | Missing taxon?: N | % Missing data: 93.9206103230421
Taxon: massoutiera_mzabi | Num gaps: 15639 | Missing taxon?: N | % Missing data: 93.2113481940637
Taxon: mesocapromys_angelcabrerai | Num gaps: 15890 | Missing taxon?: N | % Missing data: 94.7073548694719
Taxon: mesocapromys_auritus | Num gaps: 15782 | Missing taxon?: N | % Missing data: 94.0636547860293
Taxon: mesocapromys_melanurus | Num gaps: 16429 | Missing taxon?: N | % Missing data: 97.9198951007271
Taxon: mesomys_hispidus | Num gaps: 15771 | Missing taxon?: N | % Missing data: 93.9980927404935
Taxon: mesomys_occultus | Num gaps: 16145 | Missing taxon?: N | % Missing data: 96.2272022887114
Taxon: mesomys_stimulax | Num gaps: 16144 | Missing taxon?: N | % Missing data: 96.2212421027536
Taxon: microcavia | Num gaps: 16511 | Missing taxon?: N | % Missing data: 98.4086303492669
Taxon: myocastor_coypus | Num gaps: 10816 | Missing taxon?: N | % Missing data: 64.4653713195852
Taxon: myoprocta_acouchy | Num gaps: 15878 | Missing taxon?: N | % Missing data: 94.6358326379783
Taxon: myoprocta_pratti | Num gaps: 16511 | Missing taxon?: N | % Missing data: 98.4086303492669
Taxon: mysateles_prehensilis | Num gaps: 15783 | Missing taxon?: N | % Missing data: 94.0696149719871
Taxon: octodon_bridgesi | Num gaps: 15727 | Missing taxon?: N | % Missing data: 93.7358445583502
Taxon: octodon_degus | Num gaps: 16047 | Missing taxon?: N | % Missing data: 95.6431040648468
Taxon: octodon_lunatus | Num gaps: 15637 | Missing taxon?: N | % Missing data: 93.1994278221481
Taxon: octodontomys_gliroides | Num gaps: 11081 | Missing taxon?: N | % Missing data: 66.0448205984027
Taxon: octomys_mimax | Num gaps: 16482 | Missing taxon?: N | % Missing data: 98.2357849564906
Taxon: olallamys_albicauda | Num gaps: 16501 | Missing taxon?: N | % Missing data: 98.3490284896889
Taxon: pattonomys_occasius~ | Num gaps: 16547 | Missing taxon?: N | % Missing data: 98.6231970437478
Taxon: pattonomys_semivillosus~ | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: petromus_typicus | Num gaps: 12274 | Missing taxon?: N | % Missing data: 73.1553224460603
Taxon: phyllomys_aff_dasythrix | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: phyllomys_blainvillii | Num gaps: 15478 | Missing taxon?: N | % Missing data: 92.2517582548575
Taxon: phyllomys_brasiliensis | Num gaps: 15980 | Missing taxon?: N | % Missing data: 95.2437716056741
Taxon: phyllomys_dasythrix | Num gaps: 15708 | Missing taxon?: N | % Missing data: 93.622601025152
Taxon: phyllomys_lamarum | Num gaps: 15972 | Missing taxon?: N | % Missing data: 95.1960901180117
Taxon: phyllomys_lundi | Num gaps: 15979 | Missing taxon?: N | % Missing data: 95.2378114197163
Taxon: phyllomys_mantiqueirensis | Num gaps: 15974 | Missing taxon?: N | % Missing data: 95.2080104899273
Taxon: phyllomys_nigrispinus | Num gaps: 16000 | Missing taxon?: N | % Missing data: 95.3629753248301
Taxon: phyllomys_pattoni | Num gaps: 15770 | Missing taxon?: N | % Missing data: 93.9921325545357
Taxon: phyllomys_sulinus | Num gaps: 15980 | Missing taxon?: N | % Missing data: 95.2437716056741
Taxon: phyllomys_unicolor | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: pipanacoctomys_aureus | Num gaps: 16461 | Missing taxon?: N | % Missing data: 98.1106210513768
Taxon: plagiodontia_aedium | Num gaps: 15890 | Missing taxon?: N | % Missing data: 94.7073548694719
Taxon: proechimys_cuvieri | Num gaps: 15727 | Missing taxon?: N | % Missing data: 93.7358445583502
Taxon: proechimys_guyannensis | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: proechimys_longicaudatus | Num gaps: 16138 | Missing taxon?: N | % Missing data: 96.1854809870068
Taxon: proechimys_oris | Num gaps: 16359 | Missing taxon?: N | % Missing data: 97.502682083681
Taxon: proechimys_quadruplicatus | Num gaps: 16405 | Missing taxon?: N | % Missing data: 97.7768506377399
Taxon: proechimys_roberti | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: proechimys_simonsi | Num gaps: 15765 | Missing taxon?: N | % Missing data: 93.9623316247467
Taxon: santamartamys_rufodorsalis | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: spalacopus_cyanus | Num gaps: 16482 | Missing taxon?: N | % Missing data: 98.2357849564906
Taxon: thrichomys_aff_apereoides | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: thrichomys_aff_inermis | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: thrichomys_apereoides_apereoides | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: thrichomys_fosteri | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: thrichomys_inermis | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: thrichomys_laurenteus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: thrichomys_pachyurus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: thryonomys_swinderianus | Num gaps: 12736 | Missing taxon?: N | % Missing data: 75.9089283585648
Taxon: toromys_grandis | Num gaps: 16272 | Missing taxon?: N | % Missing data: 96.9841459053522
Taxon: toromys_rhipidurus | Num gaps: 16531 | Missing taxon?: N | % Missing data: 98.5278340684229
Taxon: trichys_fasciculata | Num gaps: 15215 | Missing taxon?: N | % Missing data: 90.6842293479557
Taxon: trinomys_albispinus | Num gaps: 16266 | Missing taxon?: N | % Missing data: 96.9483847896054
Taxon: trinomys_dimidiatus | Num gaps: 16453 | Missing taxon?: N | % Missing data: 98.0629395637144
Taxon: trinomys_eliasi | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: trinomys_gratiosus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: trinomys_iheringi | Num gaps: 15820 | Missing taxon?: N | % Missing data: 94.2901418524258
Taxon: trinomys_moojeni | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: trinomys_paratus | Num gaps: 16123 | Missing taxon?: N | % Missing data: 96.0960781976398
Taxon: trinomys_setosus_elegans | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: trinomys_yonenagae | Num gaps: 16132 | Missing taxon?: N | % Missing data: 96.14971987126
Taxon: tympanoctomys_barrerae | Num gaps: 16483 | Missing taxon?: N | % Missing data: 98.2417451424485
Taxon: tympanoctomys_loschalchalerosorum | Num gaps: 15927 | Missing taxon?: N | % Missing data: 94.9278817499106
Taxon: ornithorhynchus_anatinus | Num gaps: 8763 | Missing taxon?: N | % Missing data: 52.2291095482179
Taxon: zaglossus_bruijni | Num gaps: 16444 | Missing taxon?: N | % Missing data: 98.0092978900942
Taxon: tachyglossus_aculeatus | Num gaps: 13417 | Missing taxon?: N | % Missing data: 79.9678149958279
Taxon: ictidomys_tridecemlineatus | Num gaps: 4875 | Missing taxon?: N | % Missing data: 29.0559065442842
Taxon: fukomys_damarensis | Num gaps: 14477 | Missing taxon?: N | % Missing data: 86.2856121110979

Number of missing taxa = 94
Number of present taxa = 116
Total number of taxa = 210

Eq: num_gaps / ( num_taxa * len_aln ) --> (1577132+1735109)/((94+116)*16778)
Avg missing data before removing missing taxa = 0.940074871288365 = 94.0074871288365%
Eq: num_gaps / ( num_taxa * len_aln ) --> 1735109/(116*16778)
Avg missing data after removing missing taxa = 0.891514853194454 = 89.1514853194454%

