Parsing alignment rod_subt2_nt3cp ... ... 
Length alignment: 95950
Number of taxa: 691
Taxon: abeomelomys_sevia | Num gaps: 95194 | Missing taxon?: N | % Missing data: 99.2120896300156
Taxon: akodon_iniscatus_nucus | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_juninensis | Num gaps: 95579 | Missing taxon?: N | % Missing data: 99.6133402813966
Taxon: akodon_kofordi | Num gaps: 94580 | Missing taxon?: N | % Missing data: 98.5721730067744
Taxon: neomicroxus_latebricola | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_lindberghi | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_lutescens | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_lutescens_puer | Num gaps: 95581 | Missing taxon?: N | % Missing data: 99.6154247003648
Taxon: akodon_mimus | Num gaps: 94990 | Missing taxon?: N | % Missing data: 98.999478895258
Taxon: akodon_molinae | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_mollis | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_mollis_altorum | Num gaps: 95575 | Missing taxon?: N | % Missing data: 99.6091714434601
Taxon: akodon_montensis | Num gaps: 94921 | Missing taxon?: N | % Missing data: 98.9275664408546
Taxon: akodon_mystax | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_orophilus | Num gaps: 95576 | Missing taxon?: N | % Missing data: 99.6102136529442
Taxon: akodon_paranaensis | Num gaps: 95529 | Missing taxon?: N | % Missing data: 99.5612298071912
Taxon: akodon_philipmyersi | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_polopi | Num gaps: 95578 | Missing taxon?: N | % Missing data: 99.6122980719124
Taxon: akodon_reigi | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_serrensis | Num gaps: 95606 | Missing taxon?: N | % Missing data: 99.6414799374674
Taxon: akodon_siberiae | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_simulator | Num gaps: 95580 | Missing taxon?: N | % Missing data: 99.6143824908807
Taxon: akodon_spegazzinii | Num gaps: 95583 | Missing taxon?: N | % Missing data: 99.617509119333
Taxon: akodon_subfuscus | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_sylvanus | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_tartareus | Num gaps: 95578 | Missing taxon?: N | % Missing data: 99.6122980719124
Taxon: akodon_toba | Num gaps: 95581 | Missing taxon?: N | % Missing data: 99.6154247003648
Taxon: akodon_torques | Num gaps: 94147 | Missing taxon?: N | % Missing data: 98.1208963001563
Taxon: akodon_varius | Num gaps: 95580 | Missing taxon?: N | % Missing data: 99.6143824908807
Taxon: akodon_viridescens | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: amphinectomys_savamis | Num gaps: 95528 | Missing taxon?: N | % Missing data: 99.5601875977071
Taxon: andalgalomys_pearsoni | Num gaps: 94762 | Missing taxon?: N | % Missing data: 98.7618551328817
Taxon: andalgalomys_pearsoni_dorbignyi | Num gaps: 95702 | Missing taxon?: N | % Missing data: 99.7415320479416
Taxon: andalgalomys_roigi | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: andinomys_edax | Num gaps: 94673 | Missing taxon?: N | % Missing data: 98.6690984887963
Taxon: anisomys_imitator | Num gaps: 95239 | Missing taxon?: N | % Missing data: 99.2589890568004
Taxon: apodemus_agrarius | Num gaps: 93792 | Missing taxon?: N | % Missing data: 97.7509119332986
Taxon: apodemus_agrarius_coreae | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: apodemus_alpicola | Num gaps: 94394 | Missing taxon?: N | % Missing data: 98.3783220427306
Taxon: apodemus_argenteus | Num gaps: 95170 | Missing taxon?: N | % Missing data: 99.1870766023971
Taxon: apodemus_chejuensis | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: apodemus_chevrieri | Num gaps: 95177 | Missing taxon?: N | % Missing data: 99.1943720687858
Taxon: apodemus_draco | Num gaps: 95180 | Missing taxon?: N | % Missing data: 99.1974986972381
Taxon: apodemus_flavicollis | Num gaps: 93900 | Missing taxon?: N | % Missing data: 97.8634705575821
Taxon: apodemus_gurkha | Num gaps: 95170 | Missing taxon?: N | % Missing data: 99.1870766023971
Taxon: apodemus_hermonensis | Num gaps: 95175 | Missing taxon?: N | % Missing data: 99.1922876498176
Taxon: apodemus_ilex | Num gaps: 95576 | Missing taxon?: N | % Missing data: 99.6102136529442
Taxon: apodemus_latronum | Num gaps: 94920 | Missing taxon?: N | % Missing data: 98.9265242313705
Taxon: apodemus_mystacinus | Num gaps: 93150 | Missing taxon?: N | % Missing data: 97.0818134445023
Taxon: apodemus_pallipes | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: apodemus_peninsulae | Num gaps: 95178 | Missing taxon?: N | % Missing data: 99.1954142782699
Taxon: apodemus_ponticus | Num gaps: 95554 | Missing taxon?: N | % Missing data: 99.5872850442939
Taxon: apodemus_semotus | Num gaps: 94899 | Missing taxon?: N | % Missing data: 98.9046378322043
Taxon: apodemus_speciosus | Num gaps: 93983 | Missing taxon?: N | % Missing data: 97.9499739447629
Taxon: apodemus_sylvaticus | Num gaps: 93584 | Missing taxon?: N | % Missing data: 97.5341323606045
Taxon: apodemus_uralensis | Num gaps: 95173 | Missing taxon?: N | % Missing data: 99.1902032308494
Taxon: apodemus_wardi | Num gaps: 95173 | Missing taxon?: N | % Missing data: 99.1902032308494
Taxon: apomys_abrae | Num gaps: 95557 | Missing taxon?: N | % Missing data: 99.5904116727462
Taxon: apomys_camiguinensis | Num gaps: 95559 | Missing taxon?: N | % Missing data: 99.5924960917144
Taxon: apomys_datae | Num gaps: 94753 | Missing taxon?: N | % Missing data: 98.7524752475248
Taxon: apomys_gracilirostris | Num gaps: 95556 | Missing taxon?: N | % Missing data: 99.5893694632621
Taxon: apomys_hylocoetes | Num gaps: 94134 | Missing taxon?: N | % Missing data: 98.1073475768629
Taxon: apomys_insignis | Num gaps: 95160 | Missing taxon?: N | % Missing data: 99.176654507556
Taxon: apomys_iridensis | Num gaps: 95585 | Missing taxon?: N | % Missing data: 99.6195935383012
Taxon: apomys_lubangensis | Num gaps: 95556 | Missing taxon?: N | % Missing data: 99.5893694632621
Taxon: apomys_microdon | Num gaps: 94879 | Missing taxon?: N | % Missing data: 98.8837936425221
Taxon: apomys_musculus | Num gaps: 94953 | Missing taxon?: N | % Missing data: 98.960917144346
Taxon: apomys_sacobianus | Num gaps: 95561 | Missing taxon?: N | % Missing data: 99.5945805106826
Taxon: archboldomys_luzonensis | Num gaps: 93479 | Missing taxon?: N | % Missing data: 97.4247003647733
Taxon: arvicanthis_abyssinicus | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: arvicanthis_dembeensis | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: arvicanthis_niloticus | Num gaps: 95193 | Missing taxon?: N | % Missing data: 99.2110474205315
Taxon: arvicanthis_somalicus | Num gaps: 93836 | Missing taxon?: N | % Missing data: 97.7967691505993
Taxon: auliscomys_boliviensis | Num gaps: 95557 | Missing taxon?: N | % Missing data: 99.5904116727462
Taxon: auliscomys_micropus | Num gaps: 95041 | Missing taxon?: N | % Missing data: 99.0526315789474
Taxon: auliscomys_pictus | Num gaps: 95557 | Missing taxon?: N | % Missing data: 99.5904116727462
Taxon: auliscomys_sublimis | Num gaps: 94342 | Missing taxon?: N | % Missing data: 98.3241271495571
Taxon: bandicota_bengalensis~ | Num gaps: 95231 | Missing taxon?: N | % Missing data: 99.2506513809276
Taxon: bandicota_indica~ | Num gaps: 93302 | Missing taxon?: N | % Missing data: 97.2402292860865
Taxon: bandicota_savilei~ | Num gaps: 94379 | Missing taxon?: N | % Missing data: 98.362688900469
Taxon: batomys_granti | Num gaps: 94005 | Missing taxon?: N | % Missing data: 97.9729025534132
Taxon: batomys_salomonseni | Num gaps: 95548 | Missing taxon?: N | % Missing data: 99.5810317873893
Taxon: berylmys_berdmorei | Num gaps: 93302 | Missing taxon?: N | % Missing data: 97.2402292860865
Taxon: berylmys_bowersi | Num gaps: 92906 | Missing taxon?: N | % Missing data: 96.8275143303804
Taxon: bibimys | Num gaps: 95595 | Missing taxon?: N | % Missing data: 99.6300156331423
Taxon: blarinomys_breviceps | Num gaps: 95557 | Missing taxon?: N | % Missing data: 99.5904116727462
Taxon: necromys_amoenus | Num gaps: 94508 | Missing taxon?: N | % Missing data: 98.4971339239187
Taxon: necromys_lasiurus | Num gaps: 95612 | Missing taxon?: N | % Missing data: 99.6477331943721
Taxon: necromys_temchuki | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: necromys_urichi | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: brachiones_przewalskii | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: brucepattersonius | Num gaps: 94905 | Missing taxon?: N | % Missing data: 98.9108910891089
Taxon: bullimus_bagobus | Num gaps: 95277 | Missing taxon?: N | % Missing data: 99.2985930171965
Taxon: bullimus_gamay | Num gaps: 95283 | Missing taxon?: N | % Missing data: 99.3048462741011
Taxon: bullimus_luzonicus | Num gaps: 95400 | Missing taxon?: N | % Missing data: 99.4267847837415
Taxon: bunomys_andrewsi | Num gaps: 94229 | Missing taxon?: N | % Missing data: 98.206357477853
Taxon: bunomys_chrysocomus | Num gaps: 95241 | Missing taxon?: N | % Missing data: 99.2610734757686
Taxon: bunomys_penitus | Num gaps: 95680 | Missing taxon?: N | % Missing data: 99.7186034392913
Taxon: calomys_aff_expulsus | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: calomys_callosus | Num gaps: 94799 | Missing taxon?: N | % Missing data: 98.8004168837936
Taxon: calomys_expulsus | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: calomys_fecundus | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: calomys_hummelincki | Num gaps: 95584 | Missing taxon?: N | % Missing data: 99.6185513288171
Taxon: calomys_laucha | Num gaps: 95116 | Missing taxon?: N | % Missing data: 99.1307972902553
Taxon: calomys_lepidus | Num gaps: 94742 | Missing taxon?: N | % Missing data: 98.7410109431996
Taxon: calomys_musculinus | Num gaps: 95284 | Missing taxon?: N | % Missing data: 99.3058884835852
Taxon: calomys_sorellus | Num gaps: 95557 | Missing taxon?: N | % Missing data: 99.5904116727462
Taxon: calomys_tener | Num gaps: 95558 | Missing taxon?: N | % Missing data: 99.5914538822303
Taxon: calomys_tocantinsi | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: calomys_venustus | Num gaps: 95272 | Missing taxon?: N | % Missing data: 99.2933819697759
Taxon: carpomys_phaeurus | Num gaps: 95271 | Missing taxon?: N | % Missing data: 99.2923397602918
Taxon: cerradomys_scotti | Num gaps: 95528 | Missing taxon?: N | % Missing data: 99.5601875977071
Taxon: cerradomys_subflavus | Num gaps: 94455 | Missing taxon?: N | % Missing data: 98.4418968212611
Taxon: chelemys_macronyx | Num gaps: 95672 | Missing taxon?: N | % Missing data: 99.7102657634184
Taxon: chelemys_megalonyx | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: chilomys_instans | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: chinchillula_sahamae | Num gaps: 95198 | Missing taxon?: N | % Missing data: 99.2162584679521
Taxon: chiromyscus_chiropus | Num gaps: 93665 | Missing taxon?: N | % Missing data: 97.6185513288171
Taxon: chiromyscus_langbianis | Num gaps: 95146 | Missing taxon?: N | % Missing data: 99.1620635747785
Taxon: chiromyscus_thomasi | Num gaps: 95680 | Missing taxon?: N | % Missing data: 99.7186034392913
Taxon: chiropodomys_gliroides | Num gaps: 93701 | Missing taxon?: N | % Missing data: 97.6560708702449
Taxon: chiruromys_vates | Num gaps: 95271 | Missing taxon?: N | % Missing data: 99.2923397602918
Taxon: chrotomys_gonzalesi | Num gaps: 94296 | Missing taxon?: N | % Missing data: 98.2761855132882
Taxon: chrotomys_mindorensis | Num gaps: 95544 | Missing taxon?: N | % Missing data: 99.5768629494528
Taxon: chrotomys_sibuyanensis | Num gaps: 95283 | Missing taxon?: N | % Missing data: 99.3048462741011
Taxon: chrotomys_silaceus | Num gaps: 95281 | Missing taxon?: N | % Missing data: 99.3027618551329
Taxon: chrotomys_whiteheadi | Num gaps: 95539 | Missing taxon?: N | % Missing data: 99.5716519020323
Taxon: colomys_goslingi | Num gaps: 95688 | Missing taxon?: N | % Missing data: 99.7269411151642
Taxon: conilurus_penicillatus | Num gaps: 93960 | Missing taxon?: N | % Missing data: 97.9260031266285
Taxon: crateromys_heaneyi | Num gaps: 95273 | Missing taxon?: N | % Missing data: 99.29442417926
Taxon: cremnomys_cutchicus | Num gaps: 95672 | Missing taxon?: N | % Missing data: 99.7102657634184
Taxon: crossomys_moncktoni | Num gaps: 95272 | Missing taxon?: N | % Missing data: 99.2933819697759
Taxon: crunomys_celebensis | Num gaps: 95023 | Missing taxon?: N | % Missing data: 99.0338718082335
Taxon: crunomys_melanius | Num gaps: 95278 | Missing taxon?: N | % Missing data: 99.2996352266806
Taxon: crunomys_suncoides | Num gaps: 95541 | Missing taxon?: N | % Missing data: 99.5737363210005
Taxon: dacnomys_millardi | Num gaps: 94596 | Missing taxon?: N | % Missing data: 98.5888483585201
Taxon: dasymys_incomtus | Num gaps: 94916 | Missing taxon?: N | % Missing data: 98.9223553934341
Taxon: dasymys_rufulus | Num gaps: 95672 | Missing taxon?: N | % Missing data: 99.7102657634184
Taxon: delomys_collinus | Num gaps: 94637 | Missing taxon?: N | % Missing data: 98.6315789473684
Taxon: delomys_dorsalis | Num gaps: 95616 | Missing taxon?: N | % Missing data: 99.6519020323085
Taxon: delomys_sublineatus | Num gaps: 95557 | Missing taxon?: N | % Missing data: 99.5904116727462
Taxon: deltamys_kempi | Num gaps: 95684 | Missing taxon?: N | % Missing data: 99.7227722772277
Taxon: deltamys_kempi_langutthi | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: dephomys_defua~ | Num gaps: 95655 | Missing taxon?: N | % Missing data: 99.6925482021886
Taxon: desmodilliscus_braueri | Num gaps: 95525 | Missing taxon?: N | % Missing data: 99.5570609692548
Taxon: desmodillus_auricularis | Num gaps: 93992 | Missing taxon?: N | % Missing data: 97.9593538301199
Taxon: desmomys_harringtoni | Num gaps: 95541 | Missing taxon?: N | % Missing data: 99.5737363210005
Taxon: diplothrix_legata~ | Num gaps: 94475 | Missing taxon?: N | % Missing data: 98.4627410109432
Taxon: dipodillus_campestris | Num gaps: 94720 | Missing taxon?: N | % Missing data: 98.7180823345493
Taxon: dipodillus_dasyurus | Num gaps: 93831 | Missing taxon?: N | % Missing data: 97.7915581031787
Taxon: dipodillus_rupicola | Num gaps: 95531 | Missing taxon?: N | % Missing data: 99.5633142261595
Taxon: dipodillus_simoni | Num gaps: 94726 | Missing taxon?: N | % Missing data: 98.7243355914539
Taxon: drymoreomys_albimaculatus | Num gaps: 95531 | Missing taxon?: N | % Missing data: 99.5633142261595
Taxon: echiothrix_centrosa | Num gaps: 94931 | Missing taxon?: N | % Missing data: 98.9379885356957
Taxon: eligmodontia_bolsonensis | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: eligmodontia_hirtipes | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: eligmodontia_moreni | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: eligmodontia_morgani | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: eligmodontia_puerulus | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: eligmodontia_typus | Num gaps: 95558 | Missing taxon?: N | % Missing data: 99.5914538822303
Taxon: eremoryzomys_polius | Num gaps: 95529 | Missing taxon?: N | % Missing data: 99.5612298071912
Taxon: euneomys_chinchilloides | Num gaps: 94590 | Missing taxon?: N | % Missing data: 98.5825951016154
Taxon: euryoryzomys_lamia | Num gaps: 95529 | Missing taxon?: N | % Missing data: 99.5612298071912
Taxon: euryoryzomys_macconnelli | Num gaps: 95530 | Missing taxon?: N | % Missing data: 99.5622720166754
Taxon: euryoryzomys_nitidus | Num gaps: 95534 | Missing taxon?: N | % Missing data: 99.5664408546118
Taxon: euryoryzomys_russatus | Num gaps: 95552 | Missing taxon?: N | % Missing data: 99.5852006253257
Taxon: galenomys_garleppi | Num gaps: 95560 | Missing taxon?: N | % Missing data: 99.5935383011985
Taxon: geoxus_valdivianus | Num gaps: 94287 | Missing taxon?: N | % Missing data: 98.2668056279312
Taxon: gerbilliscus_afra | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: gerbilliscus_brantsii | Num gaps: 95342 | Missing taxon?: N | % Missing data: 99.3663366336634
Taxon: gerbilliscus_gambianus | Num gaps: 94225 | Missing taxon?: N | % Missing data: 98.2021886399166
Taxon: gerbilliscus_guineae | Num gaps: 95533 | Missing taxon?: N | % Missing data: 99.5653986451277
Taxon: gerbilliscus_kempi | Num gaps: 95345 | Missing taxon?: N | % Missing data: 99.3694632621157
Taxon: gerbilliscus_leucogaster | Num gaps: 95352 | Missing taxon?: N | % Missing data: 99.3767587285044
Taxon: gerbilliscus_nigricaudus | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: gerbilliscus_phillipsi | Num gaps: 95350 | Missing taxon?: N | % Missing data: 99.3746743095362
Taxon: gerbilliscus_robustus | Num gaps: 93691 | Missing taxon?: N | % Missing data: 97.6456487754039
Taxon: gerbilliscus_vicinus | Num gaps: 95352 | Missing taxon?: N | % Missing data: 99.3767587285044
Taxon: gerbillurus_paeba | Num gaps: 94004 | Missing taxon?: N | % Missing data: 97.9718603439291
Taxon: gerbillurus_setzeri | Num gaps: 95076 | Missing taxon?: N | % Missing data: 99.0891089108911
Taxon: gerbillurus_tytonis | Num gaps: 95570 | Missing taxon?: N | % Missing data: 99.6039603960396
Taxon: gerbillurus_vallinus | Num gaps: 94884 | Missing taxon?: N | % Missing data: 98.8890046899427
Taxon: gerbillus_amoenus | Num gaps: 95527 | Missing taxon?: N | % Missing data: 99.559145388223
Taxon: gerbillus_andersoni | Num gaps: 95530 | Missing taxon?: N | % Missing data: 99.5622720166754
Taxon: gerbillus_cheesmani | Num gaps: 95527 | Missing taxon?: N | % Missing data: 99.559145388223
Taxon: gerbillus_floweri | Num gaps: 95608 | Missing taxon?: N | % Missing data: 99.6435643564356
Taxon: gerbillus_gerbillus | Num gaps: 93953 | Missing taxon?: N | % Missing data: 97.9187076602397
Taxon: gerbillus_henleyi | Num gaps: 94258 | Missing taxon?: N | % Missing data: 98.2365815528921
Taxon: gerbillus_hesperinus | Num gaps: 95526 | Missing taxon?: N | % Missing data: 99.5581031787389
Taxon: gerbillus_hoogstrali | Num gaps: 95530 | Missing taxon?: N | % Missing data: 99.5622720166754
Taxon: gerbillus_latastei | Num gaps: 95530 | Missing taxon?: N | % Missing data: 99.5622720166754
Taxon: gerbillus_nancillus | Num gaps: 95526 | Missing taxon?: N | % Missing data: 99.5581031787389
Taxon: gerbillus_nanus | Num gaps: 94954 | Missing taxon?: N | % Missing data: 98.9619593538301
Taxon: gerbillus_nigeriae | Num gaps: 95382 | Missing taxon?: N | % Missing data: 99.4080250130276
Taxon: gerbillus_occiduus | Num gaps: 95527 | Missing taxon?: N | % Missing data: 99.559145388223
Taxon: gerbillus_perpallidus | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: gerbillus_poecilops | Num gaps: 95526 | Missing taxon?: N | % Missing data: 99.5581031787389
Taxon: gerbillus_pyramidum | Num gaps: 95526 | Missing taxon?: N | % Missing data: 99.5581031787389
Taxon: gerbillus_tarabuli | Num gaps: 95529 | Missing taxon?: N | % Missing data: 99.5612298071912
Taxon: golunda_ellioti | Num gaps: 95651 | Missing taxon?: N | % Missing data: 99.6883793642522
Taxon: grammomys_dolichurus | Num gaps: 94667 | Missing taxon?: N | % Missing data: 98.6628452318916
Taxon: grammomys_gazellae | Num gaps: 95535 | Missing taxon?: N | % Missing data: 99.5674830640959
Taxon: grammomys_ibeanus | Num gaps: 94759 | Missing taxon?: N | % Missing data: 98.7587285044294
Taxon: grammomys_macmillani | Num gaps: 94360 | Missing taxon?: N | % Missing data: 98.342886920271
Taxon: grammomys_surdaster | Num gaps: 94985 | Missing taxon?: N | % Missing data: 98.9942678478374
Taxon: graomys_centralis | Num gaps: 95338 | Missing taxon?: N | % Missing data: 99.3621677957269
Taxon: graomys_chacoensis | Num gaps: 95252 | Missing taxon?: N | % Missing data: 99.2725377800938
Taxon: graomys_domorum | Num gaps: 95247 | Missing taxon?: N | % Missing data: 99.2673267326733
Taxon: graomys_griseoflavus | Num gaps: 94347 | Missing taxon?: N | % Missing data: 98.3293381969776
Taxon: halmaheramys_bokimekot | Num gaps: 95588 | Missing taxon?: N | % Missing data: 99.6227201667535
Taxon: handleyomys_alfaroi | Num gaps: 95528 | Missing taxon?: N | % Missing data: 99.5601875977071
Taxon: handleyomys_chapmani | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: handleyomys_guerrerensis | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: handleyomys_melanotis | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: handleyomys_rostratus | Num gaps: 95533 | Missing taxon?: N | % Missing data: 99.5653986451277
Taxon: handleyomys_saturatior | Num gaps: 95528 | Missing taxon?: N | % Missing data: 99.5601875977071
Taxon: heimyscus_fumosus | Num gaps: 95372 | Missing taxon?: N | % Missing data: 99.3976029181865
Taxon: holochilus_brasiliensis | Num gaps: 95136 | Missing taxon?: N | % Missing data: 99.1516414799375
Taxon: holochilus_chacarius | Num gaps: 95135 | Missing taxon?: N | % Missing data: 99.1505992704534
Taxon: holochilus_sciureus | Num gaps: 94157 | Missing taxon?: N | % Missing data: 98.1313183949974
Taxon: hybomys_univittatus | Num gaps: 93851 | Missing taxon?: N | % Missing data: 97.8124022928609
Taxon: hydromys_chrysogaster | Num gaps: 93778 | Missing taxon?: N | % Missing data: 97.7363210005211
Taxon: hylaeamys_acritus | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: hylaeamys_laticeps | Num gaps: 95529 | Missing taxon?: N | % Missing data: 99.5612298071912
Taxon: hylaeamys_megacephalus | Num gaps: 95531 | Missing taxon?: N | % Missing data: 99.5633142261595
Taxon: hylaeamys_perenensis | Num gaps: 95530 | Missing taxon?: N | % Missing data: 99.5622720166754
Taxon: hylaeamys_yunganus | Num gaps: 95530 | Missing taxon?: N | % Missing data: 99.5622720166754
Taxon: hylomyscus_aeta | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: hylomyscus_alleni | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: hylomyscus_anselli | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: hylomyscus_arcimontensis | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: hylomyscus_baeri | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: hylomyscus_denniae | Num gaps: 95543 | Missing taxon?: N | % Missing data: 99.5758207399687
Taxon: hylomyscus_vulcanorum | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: hylomyscus_endorobae | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: hylomyscus_grandis | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: hylomyscus_kaimosae | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: hylomyscus_pamfi | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: hylomyscus_parvus | Num gaps: 94451 | Missing taxon?: N | % Missing data: 98.4377279833246
