Parsing alignment lchiroptera_subt1_mt12cp ... ... 
Length alignment: 7202
Number of taxa: 256
Taxon: acerodon_celebensis | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: epomops_franqueti | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: haplonycteris_fischeri | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: harpyionycteris_celebensis | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: harpyionycteris_whiteheadi | Num gaps: 6546 | Missing taxon?: N | % Missing data: 90.8914190502638
Taxon: hipposideros_abae | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_aff_ruber | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_alongensis_alongensis | Num gaps: 6638 | Missing taxon?: N | % Missing data: 92.1688419883366
Taxon: hipposideros_alongensis_sungi | Num gaps: 6638 | Missing taxon?: N | % Missing data: 92.1688419883366
Taxon: hipposideros_armiger | Num gaps: 0 | Missing taxon?: N | % Missing data: 0
Taxon: hipposideros_ater | Num gaps: 5762 | Missing taxon?: N | % Missing data: 80.0055540127742
Taxon: hipposideros_beatus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_bicolor | Num gaps: 5750 | Missing taxon?: N | % Missing data: 79.8389336295473
Taxon: hipposideros_bicolor_131_khz_ | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_bicolor_142_khz_ | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_caffer | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_caffer_tephrus | Num gaps: 6446 | Missing taxon?: N | % Missing data: 89.5029158567065
Taxon: hipposideros_calcaratus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_cervinus | Num gaps: 5750 | Missing taxon?: N | % Missing data: 79.8389336295473
Taxon: hipposideros_cineraceus | Num gaps: 5750 | Missing taxon?: N | % Missing data: 79.8389336295473
Taxon: hipposideros_commersoni | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_coronatus | Num gaps: 6508 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: hipposideros_coxi | Num gaps: 6508 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: hipposideros_cyclops | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_demissus | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_diadema | Num gaps: 5114 | Missing taxon?: N | % Missing data: 71.0080533185226
Taxon: hipposideros_dinops | Num gaps: 6508 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: hipposideros_doriae | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_dyacorum | Num gaps: 6508 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: hipposideros_fuliginosus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_fulvus | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_galeritus | Num gaps: 5868 | Missing taxon?: N | % Missing data: 81.477367397945
Taxon: hipposideros_gigas | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_griffini | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_halophyllus | Num gaps: 6638 | Missing taxon?: N | % Missing data: 92.1688419883366
Taxon: hipposideros_jonesi | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_khaokhouayensis | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_larvatus | Num gaps: 5114 | Missing taxon?: N | % Missing data: 71.0080533185226
Taxon: hipposideros_larvatus_s_l_sjp_2012 | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_lekaguli | Num gaps: 6508 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: hipposideros_lylei | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_obscurus | Num gaps: 6508 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: hipposideros_pelingensis | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_pomona | Num gaps: 5808 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: hipposideros_pratti | Num gaps: 5808 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: hipposideros_pygmaeus | Num gaps: 6508 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: hipposideros_ridleyi | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_rotalis | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_ruber | Num gaps: 6446 | Missing taxon?: N | % Missing data: 89.5029158567065
Taxon: hipposideros_scutinares | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_speoris | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_terasensis | Num gaps: 5808 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: hipposideros_pendleburyi | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_turpis_turpis | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_vittatus | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: hypsignathus_monstrosus | Num gaps: 6632 | Missing taxon?: N | % Missing data: 92.0855317967231
Taxon: latidens_salimalii | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: macroderma_gigas | Num gaps: 6508 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: macroglossus_minimus | Num gaps: 5750 | Missing taxon?: N | % Missing data: 79.8389336295473
Taxon: macroglossus_sobrinus | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: megaderma_lyra | Num gaps: 5114 | Missing taxon?: N | % Missing data: 71.0080533185226
Taxon: megaderma_spasma | Num gaps: 6508 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: megaerops_ecaudatus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: megaerops_kusnotoi | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: megaerops_wetmorei | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: megaloglossus_azagnyi | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: megaloglossus_woermanni | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: melonycteris_fardoulisi | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: melonycteris_melanops | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: micropteropus_pusillus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: mirimiri_acrodonta | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: myonycteris_angolensis | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: myonycteris_angolensis_ruwenzorii | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: myonycteris_angolensis_smithii | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: myonycteris_brachycephala | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: myonycteris_leptodon | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: myonycteris_relicta | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: myonycteris_torquata | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: nanonycteris_veldkampii | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: notopteris_macdonaldi | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: nyctimene_aello | Num gaps: 6508 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: nyctimene_albiventer | Num gaps: 6508 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: nyctimene_cephalotes | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: nyctimene_certans | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: nyctimene_major | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: nyctimene_robinsoni | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: nyctimene_vizcaccia | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: otopteropus_cartilagonodus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: paranyctimene_raptor | Num gaps: 6508 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: paratriaenops_auritus | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: paratriaenops_furculus | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: penthetor_lucasi | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: ptenochirus_jagori | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteralopex_atrata | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: pteralopex_taki | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_admiralitatum | Num gaps: 6506 | Missing taxon?: N | % Missing data: 90.3360177728409
Taxon: pteropus_aldabrensis | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_alecto | Num gaps: 12 | Missing taxon?: N | % Missing data: 0.166620383226881
Taxon: pteropus_anetianus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_capistratus_ennisae | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_conspicillatus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_dasymallus | Num gaps: 2 | Missing taxon?: N | % Missing data: 0.0277700638711469
Taxon: pteropus_faunulus | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_giganteus | Num gaps: 5114 | Missing taxon?: N | % Missing data: 71.0080533185226
Taxon: pteropus_gilliardorum | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_griseus | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_hypomelanus | Num gaps: 5750 | Missing taxon?: N | % Missing data: 79.8389336295473
Taxon: pteropus_livingstonii | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_lombocensis | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_lylei | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_macrotis | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_mahaganus | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_mariannus | Num gaps: 6452 | Missing taxon?: N | % Missing data: 89.5862260483199
Taxon: pteropus_molossinus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_neohibernicus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_niger | Num gaps: 6520 | Missing taxon?: N | % Missing data: 90.5304082199389
Taxon: pteropus_ornatus | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_pelagicus | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_pelewensis_pelewensis | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_personatus~ | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_pohlei | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_poliocephalus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_pumilus | Num gaps: 5750 | Missing taxon?: N | % Missing data: 79.8389336295473
Taxon: pteropus_rayneri | Num gaps: 6508 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: pteropus_rodricensis | Num gaps: 5752 | Missing taxon?: N | % Missing data: 79.8667036934185
Taxon: pteropus_rufus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_samoensis | Num gaps: 6452 | Missing taxon?: N | % Missing data: 89.5862260483199
Taxon: pteropus_samoensis_nawaiensis | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_scapulatus | Num gaps: 2 | Missing taxon?: N | % Missing data: 0.0277700638711469
Taxon: pteropus_seychellensis_comorensis | Num gaps: 6450 | Missing taxon?: N | % Missing data: 89.5584559844488
Taxon: pteropus_seychellensis_seychellensis | Num gaps: 6520 | Missing taxon?: N | % Missing data: 90.5304082199389
Taxon: pteropus_speciosus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_temminckii | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_tonganus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_vampyrus | Num gaps: 2 | Missing taxon?: N | % Missing data: 0.0277700638711469
Taxon: pteropus_vetulus | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_voeltzkowi | Num gaps: 6520 | Missing taxon?: N | % Missing data: 90.5304082199389
Taxon: pteropus_woodfordi | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_yapensis | Num gaps: 6446 | Missing taxon?: N | % Missing data: 89.5029158567065
Taxon: rhinolophus_affinis | Num gaps: 5808 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: rhinolophus_alcyone | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_arcuatus | Num gaps: 5750 | Missing taxon?: N | % Missing data: 79.8389336295473
Taxon: rhinolophus_blasii | Num gaps: 5808 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: rhinolophus_blythi | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_celebensis | Num gaps: 6448 | Missing taxon?: N | % Missing data: 89.5306859205776
Taxon: rhinolophus_clivosus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_cornutus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_creaghi | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_darlingi | Num gaps: 6022 | Missing taxon?: N | % Missing data: 83.6156623160233
Taxon: rhinolophus_darlingi_barbetonensis | Num gaps: 6570 | Missing taxon?: N | % Missing data: 91.2246598167176
Taxon: rhinolophus_darlingi_damarensis | Num gaps: 6570 | Missing taxon?: N | % Missing data: 91.2246598167176
Taxon: rhinolophus_denti | Num gaps: 6570 | Missing taxon?: N | % Missing data: 91.2246598167176
Taxon: rhinolophus_eloquens | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_euryale | Num gaps: 5808 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: rhinolophus_euryotis | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_ferrumequinum | Num gaps: 5148 | Missing taxon?: N | % Missing data: 71.4801444043321
Taxon: rhinolophus_ferrumequinum_korai | Num gaps: 0 | Missing taxon?: N | % Missing data: 0
Taxon: rhinolophus_ferrumequinum_quelpartis | Num gaps: 0 | Missing taxon?: N | % Missing data: 0
Taxon: rhinolophus_formosae | Num gaps: 0 | Missing taxon?: N | % Missing data: 0
Taxon: rhinolophus_fumigatus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_hildebrandti | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_hipposideros | Num gaps: 5808 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: rhinolophus_inops_arcuatus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_inops_subrufus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_landeri | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_luctus | Num gaps: 0 | Missing taxon?: N | % Missing data: 0
Taxon: rhinolophus_macrotis | Num gaps: 0 | Missing taxon?: N | % Missing data: 0
Taxon: rhinolophus_malayanus | Num gaps: 6524 | Missing taxon?: N | % Missing data: 90.5859483476812
Taxon: rhinolophus_marshalli | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_megaphyllus | Num gaps: 6508 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: rhinolophus_mehelyi | Num gaps: 5808 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: rhinolophus_monoceros | Num gaps: 0 | Missing taxon?: N | % Missing data: 0
Taxon: rhinolophus_paradoxolophus | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_pearsonii | Num gaps: 5808 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: rhinolophus_perditus | Num gaps: 6566 | Missing taxon?: N | % Missing data: 91.1691196889753
Taxon: rhinolophus_philippinensis | Num gaps: 5802 | Missing taxon?: N | % Missing data: 80.5609552901972
Taxon: rhinolophus_pumilus | Num gaps: 0 | Missing taxon?: N | % Missing data: 0
Taxon: rhinolophus_pusillus | Num gaps: 5808 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: rhinolophus_rex | Num gaps: 0 | Missing taxon?: N | % Missing data: 0
Taxon: rhinolophus_rouxii | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_ruwenzorii | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_shameli | Num gaps: 6458 | Missing taxon?: N | % Missing data: 89.6695362399334
Taxon: rhinolophus_simulator | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_sinicus | Num gaps: 5808 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: rhinolophus_stheno | Num gaps: 6524 | Missing taxon?: N | % Missing data: 90.5859483476812
Taxon: rhinolophus_subrufus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_swinnyi | Num gaps: 6522 | Missing taxon?: N | % Missing data: 90.5581782838101
Taxon: rhinolophus_thomasi | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_trifoliatus | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_virgo | Num gaps: 5752 | Missing taxon?: N | % Missing data: 79.8667036934185
Taxon: rhinolophus_xinanzhongguoensis | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_yunnanensis | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinonicteris_aurantia | Num gaps: 6508 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: rhinopoma_hadramauticum | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinopoma_hardwickii | Num gaps: 5750 | Missing taxon?: N | % Missing data: 79.8389336295473
Taxon: rhinopoma_hardwickii_cystops | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinopoma_microphyllum | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinopoma_muscatellum | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rousettus_aegyptiacus | Num gaps: 2 | Missing taxon?: N | % Missing data: 0.0277700638711469
Taxon: rousettus_amplexicaudatus | Num gaps: 5234 | Missing taxon?: N | % Missing data: 72.6742571507914
Taxon: rousettus_leschenaultii | Num gaps: 530 | Missing taxon?: N | % Missing data: 7.35906692585393
Taxon: rousettus_madagascariensis | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rousettus_obliviosus | Num gaps: 6448 | Missing taxon?: N | % Missing data: 89.5306859205776
Taxon: scotonycteris_bergmansi | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: scotonycteris_ophiodon | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: scotonycteris_zenkeri | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: scotonycteris_occidentalis | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: sphaerias_blanfordi | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: stenonycteris_lanosus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: styloctenium_mindorensis | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: styloctenium_wallacei | Num gaps: 6448 | Missing taxon?: N | % Missing data: 89.5306859205776
Taxon: syconycteris_australis | Num gaps: 5750 | Missing taxon?: N | % Missing data: 79.8389336295473
Taxon: thoopterus_nigrescens | Num gaps: 5860 | Missing taxon?: N | % Missing data: 81.3662871424604
Taxon: triaenops_afer | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: triaenops_menamena | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: triaenops_persicus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: ornithorhynchus_anatinus | Num gaps: 58 | Missing taxon?: N | % Missing data: 0.80533185226326
Taxon: zaglossus_bruijni | Num gaps: 58 | Missing taxon?: N | % Missing data: 0.80533185226326
Taxon: tachyglossus_aculeatus | Num gaps: 58 | Missing taxon?: N | % Missing data: 0.80533185226326
Taxon: myotis_lucifugus | Num gaps: 8 | Missing taxon?: N | % Missing data: 0.111080255484588

Number of missing taxa = 40
Number of present taxa = 216
Total number of taxa = 256

Eq: num_gaps / ( num_taxa * len_aln ) --> (288080+1232576)/((40+216)*7202)
Avg missing data before removing missing taxa = 0.824779575118023 = 82.4779575118023%
Eq: num_gaps / ( num_taxa * len_aln ) --> 1232576/(216*7202)
Avg missing data after removing missing taxa = 0.792331348288027 = 79.2331348288027%

