Parsing alignment marsupialia_nt3cp ... ... 
Length alignment: 85949
Number of taxa: 307
Taxon: acrobates_pygmaeus | Num gaps: 80215 | Missing taxon?: N | % Missing data: 93.3286018452803
Taxon: dasyuroides_byrnei | Num gaps: 85576 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: dasyurus_albopunctatus | Num gaps: 80672 | Missing taxon?: N | % Missing data: 93.8603125109076
Taxon: dasyurus_geoffroii | Num gaps: 85576 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: dasyurus_hallucatus | Num gaps: 85114 | Missing taxon?: N | % Missing data: 99.0284936415782
Taxon: dasyurus_maculatus | Num gaps: 85182 | Missing taxon?: N | % Missing data: 99.1076103270544
Taxon: dasyurus_spartacus | Num gaps: 85576 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: dasyurus_viverrinus | Num gaps: 85576 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: dendrolagus_dorianus | Num gaps: 84380 | Missing taxon?: N | % Missing data: 98.1744988307019
Taxon: dendrolagus_goodfellowi | Num gaps: 84358 | Missing taxon?: N | % Missing data: 98.148902255989
Taxon: dendrolagus_lumholtzi | Num gaps: 85605 | Missing taxon?: N | % Missing data: 99.5997626499436
Taxon: dendrolagus_matschiei | Num gaps: 85316 | Missing taxon?: N | % Missing data: 99.2635167366694
Taxon: didelphis_albiventris | Num gaps: 83275 | Missing taxon?: N | % Missing data: 96.8888526917125
Taxon: didelphis_marsupialis | Num gaps: 82700 | Missing taxon?: N | % Missing data: 96.2198513071705
Taxon: didelphis_virginiana | Num gaps: 76746 | Missing taxon?: N | % Missing data: 89.2924874053218
Taxon: distoechurus_pennatus | Num gaps: 84405 | Missing taxon?: N | % Missing data: 98.2035858474211
Taxon: dorcopsis_hageni | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: dorcopsis_veterum | Num gaps: 84374 | Missing taxon?: N | % Missing data: 98.1675179466893
Taxon: dorcopsulus_vanheurni | Num gaps: 84394 | Missing taxon?: N | % Missing data: 98.1907875600647
Taxon: dromiciops_gliroides | Num gaps: 79524 | Missing taxon?: N | % Missing data: 92.5246367031612
Taxon: echymipera_clara | Num gaps: 84389 | Missing taxon?: N | % Missing data: 98.1849701567209
Taxon: echymipera_kalubu | Num gaps: 82077 | Missing taxon?: N | % Missing data: 95.4950028505276
Taxon: echymipera_kalubu_cockerelli | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: echymipera_kalubu_oriomo | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: echymipera_rufescens | Num gaps: 84388 | Missing taxon?: N | % Missing data: 98.1838066760521
Taxon: echymipera_rufescens_australis | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: glironia_venusta | Num gaps: 79507 | Missing taxon?: N | % Missing data: 92.5048575317921
Taxon: gracilinanus_aceramarcae | Num gaps: 83247 | Missing taxon?: N | % Missing data: 96.856275232987
Taxon: gracilinanus_agilis | Num gaps: 83264 | Missing taxon?: N | % Missing data: 96.8760544043561
Taxon: gracilinanus_emiliae | Num gaps: 83264 | Missing taxon?: N | % Missing data: 96.8760544043561
Taxon: gracilinanus_microtarsus | Num gaps: 83401 | Missing taxon?: N | % Missing data: 97.0354512559774
Taxon: gymnobelideus_leadbeateri | Num gaps: 84392 | Missing taxon?: N | % Missing data: 98.1884605987271
Taxon: hemibelideus_lemuroides | Num gaps: 84378 | Missing taxon?: N | % Missing data: 98.1721718693644
Taxon: hyladelphys_kalinowskii | Num gaps: 83250 | Missing taxon?: N | % Missing data: 96.8597656749933
Taxon: hypsiprymnodon_moschatus | Num gaps: 80244 | Missing taxon?: N | % Missing data: 93.3623427846746
Taxon: isoodon_auratus | Num gaps: 84402 | Missing taxon?: N | % Missing data: 98.2000954054148
Taxon: isoodon_auratus_barrowensis | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: isoodon_macrourus | Num gaps: 80268 | Missing taxon?: N | % Missing data: 93.3902663207251
Taxon: isoodon_macrourus_moresbyensis | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: isoodon_obesulus | Num gaps: 84052 | Missing taxon?: N | % Missing data: 97.7928771713458
Taxon: isoodon_obesulus_affinis | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: isoodon_obesulus_fusciventer | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: isoodon_obesulus_nautica | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: isoodon_obesulus_peninsulae | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: lagorchestes_conspicillatus | Num gaps: 84390 | Missing taxon?: N | % Missing data: 98.1861336373896
Taxon: lagorchestes_hirsutus | Num gaps: 84381 | Missing taxon?: N | % Missing data: 98.1756623113707
Taxon: lagostrophus_fasciatus | Num gaps: 84405 | Missing taxon?: N | % Missing data: 98.2035858474211
Taxon: lasiorhinus_krefftii | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: lasiorhinus_latifrons | Num gaps: 84377 | Missing taxon?: N | % Missing data: 98.1710083886956
Taxon: lestodelphys_halli | Num gaps: 84918 | Missing taxon?: N | % Missing data: 98.8004514304995
Taxon: lestoros_inca | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: lutreolina_crassicaudata | Num gaps: 83245 | Missing taxon?: N | % Missing data: 96.8539482716495
Taxon: macropus_agilis | Num gaps: 84154 | Missing taxon?: N | % Missing data: 97.9115521995602
Taxon: macropus_antilopinus | Num gaps: 84386 | Missing taxon?: N | % Missing data: 98.1814797147145
Taxon: macropus_dorsalis | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: macropus_eugenii | Num gaps: 25968 | Missing taxon?: N | % Missing data: 30.2132660065853
Taxon: macropus_fuliginosus | Num gaps: 84384 | Missing taxon?: N | % Missing data: 98.179152753377
Taxon: macropus_giganteus | Num gaps: 84139 | Missing taxon?: N | % Missing data: 97.8940999895287
Taxon: macropus_irma | Num gaps: 84424 | Missing taxon?: N | % Missing data: 98.2256919801277
Taxon: macropus_parma | Num gaps: 84287 | Missing taxon?: N | % Missing data: 98.0662951285064
Taxon: macropus_parryi | Num gaps: 84397 | Missing taxon?: N | % Missing data: 98.194278002071
Taxon: macropus_robustus | Num gaps: 84187 | Missing taxon?: N | % Missing data: 97.9499470616296
Taxon: macropus_rufogriseus | Num gaps: 83990 | Missing taxon?: N | % Missing data: 97.7207413698821
Taxon: macropus_rufogriseus_banksianus | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: macropus_rufus | Num gaps: 82341 | Missing taxon?: N | % Missing data: 95.8021617470826
Taxon: macrotis_lagotis | Num gaps: 80481 | Missing taxon?: N | % Missing data: 93.6380877031728
Taxon: marmosa_lepida | Num gaps: 83239 | Missing taxon?: N | % Missing data: 96.8469673876369
Taxon: marmosa_mexicana | Num gaps: 83269 | Missing taxon?: N | % Missing data: 96.8818718076999
Taxon: marmosa_mexicana_zeledoni | Num gaps: 85655 | Missing taxon?: N | % Missing data: 99.657936683382
Taxon: marmosa_murina | Num gaps: 83299 | Missing taxon?: N | % Missing data: 96.916776227763
Taxon: marmosa_macrotarsus | Num gaps: 85655 | Missing taxon?: N | % Missing data: 99.657936683382
Taxon: marmosa_waterhousei | Num gaps: 85659 | Missing taxon?: N | % Missing data: 99.6625906060571
Taxon: marmosa_robinsoni | Num gaps: 83277 | Missing taxon?: N | % Missing data: 96.8911796530501
Taxon: marmosa_isthmica | Num gaps: 85655 | Missing taxon?: N | % Missing data: 99.657936683382
Taxon: marmosa_simonsi | Num gaps: 85655 | Missing taxon?: N | % Missing data: 99.657936683382
Taxon: marmosa_rubra | Num gaps: 83256 | Missing taxon?: N | % Missing data: 96.8667465590059
Taxon: marmosa_tyleriana | Num gaps: 85655 | Missing taxon?: N | % Missing data: 99.657936683382
Taxon: marmosa_xerophila | Num gaps: 85661 | Missing taxon?: N | % Missing data: 99.6649175673946
Taxon: marmosops_dorothea | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: marmosops_impavidus | Num gaps: 83312 | Missing taxon?: N | % Missing data: 96.931901476457
Taxon: marmosops_incanus | Num gaps: 83262 | Missing taxon?: N | % Missing data: 96.8737274430185
Taxon: marmosops_noctivagus | Num gaps: 83254 | Missing taxon?: N | % Missing data: 96.8644195976684
Taxon: marmosops_pakaraimae | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: marmosops_parvidens | Num gaps: 83286 | Missing taxon?: N | % Missing data: 96.901650979069
Taxon: marmosops_paulensis | Num gaps: 85660 | Missing taxon?: N | % Missing data: 99.6637540867258
Taxon: marmosops_pinheiroi | Num gaps: 83640 | Missing taxon?: N | % Missing data: 97.3135231358131
Taxon: metachirus_nudicaudatus | Num gaps: 83305 | Missing taxon?: N | % Missing data: 96.9237571117756
Taxon: marmosa_micoureus_constantiae | Num gaps: 85659 | Missing taxon?: N | % Missing data: 99.6625906060571
Taxon: marmosa_micoureus_demerarae | Num gaps: 83270 | Missing taxon?: N | % Missing data: 96.8830352883687
Taxon: marmosa_micoureus_paraguayana | Num gaps: 83367 | Missing taxon?: N | % Missing data: 96.9958929132392
Taxon: marmosa_micoureus_regina | Num gaps: 83252 | Missing taxon?: N | % Missing data: 96.8620926363308
Taxon: micromurexia_habbema | Num gaps: 85576 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: microperoryctes_aplini | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: microperoryctes_longicauda | Num gaps: 83997 | Missing taxon?: N | % Missing data: 97.7288857345635
Taxon: microperoryctes_longicauda_magnus | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: microperoryctes_longicauda_ornatus | Num gaps: 84613 | Missing taxon?: N | % Missing data: 98.445589826525
Taxon: microperoryctes_papuensis | Num gaps: 84403 | Missing taxon?: N | % Missing data: 98.2012588860836
Taxon: monodelphis_adusta | Num gaps: 83935 | Missing taxon?: N | % Missing data: 97.6567499330999
Taxon: monodelphis_americana | Num gaps: 85248 | Missing taxon?: N | % Missing data: 99.1844000511932
Taxon: monodelphis_arlindoi | Num gaps: 85249 | Missing taxon?: N | % Missing data: 99.1855635318619
Taxon: monodelphis_brevicaudata | Num gaps: 83250 | Missing taxon?: N | % Missing data: 96.8597656749933
Taxon: monodelphis_dimidiata | Num gaps: 85239 | Missing taxon?: N | % Missing data: 99.1739287251742
Taxon: monodelphis_domestica | Num gaps: 5641 | Missing taxon?: N | % Missing data: 6.56319445252417
Taxon: monodelphis_emiliae | Num gaps: 83239 | Missing taxon?: N | % Missing data: 96.8469673876369
Taxon: monodelphis_gardneri | Num gaps: 85248 | Missing taxon?: N | % Missing data: 99.1844000511932
Taxon: monodelphis_glirina | Num gaps: 85250 | Missing taxon?: N | % Missing data: 99.1867270125307
Taxon: monodelphis_handleyi | Num gaps: 85248 | Missing taxon?: N | % Missing data: 99.1844000511932
Taxon: monodelphis_iheringi | Num gaps: 85248 | Missing taxon?: N | % Missing data: 99.1844000511932
Taxon: monodelphis_kunsi | Num gaps: 84854 | Missing taxon?: N | % Missing data: 98.7259886676983
Taxon: monodelphis_osgoodi | Num gaps: 85282 | Missing taxon?: N | % Missing data: 99.2239583939313
Taxon: monodelphis_palliolata | Num gaps: 85251 | Missing taxon?: N | % Missing data: 99.1878904931995
Taxon: monodelphis_peruviana | Num gaps: 84561 | Missing taxon?: N | % Missing data: 98.3850888317491
Taxon: monodelphis_reigi | Num gaps: 85259 | Missing taxon?: N | % Missing data: 99.1971983385496
Taxon: monodelphis_sanctaerosae | Num gaps: 85280 | Missing taxon?: N | % Missing data: 99.2216314325938
Taxon: monodelphis_scalops | Num gaps: 85253 | Missing taxon?: N | % Missing data: 99.190217454537
Taxon: monodelphis_theresa | Num gaps: 83241 | Missing taxon?: N | % Missing data: 96.8492943489744
Taxon: monodelphis_touan | Num gaps: 85249 | Missing taxon?: N | % Missing data: 99.1855635318619
Taxon: monodelphis_umbristriata | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: murexchinus_melanurus | Num gaps: 85576 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: murexia_longicaudata | Num gaps: 84589 | Missing taxon?: N | % Missing data: 98.4176662904746
Taxon: murexia_longicaudata_aspera | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: myoictis_leucura | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: myoictis_melas | Num gaps: 85576 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: myoictis_wallacei | Num gaps: 85576 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: myoictis_wavicus | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: myrmecobius_fasciatus | Num gaps: 80145 | Missing taxon?: N | % Missing data: 93.2471581984665
Taxon: neophascogale_lorentzii | Num gaps: 85576 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: ningaui_ridei | Num gaps: 85594 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: ningaui_timealeyi | Num gaps: 85594 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: ningaui_yvonnae | Num gaps: 85594 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: notoryctes_caurinus | Num gaps: 85735 | Missing taxon?: N | % Missing data: 99.7510151368835
Taxon: notoryctes_typhlops | Num gaps: 80160 | Missing taxon?: N | % Missing data: 93.2646104084981
Taxon: onychogalea_fraenata | Num gaps: 84391 | Missing taxon?: N | % Missing data: 98.1872971180584
Taxon: onychogalea_unguifera | Num gaps: 84420 | Missing taxon?: N | % Missing data: 98.2210380574527
Taxon: paramurexia_rothschildi | Num gaps: 85576 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: parantechinus_apicalis | Num gaps: 85576 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: perameles_bougainville | Num gaps: 84396 | Missing taxon?: N | % Missing data: 98.1931145214022
Taxon: perameles_bougainville_notina | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: perameles_eremiana | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: perameles_gunnii | Num gaps: 84376 | Missing taxon?: N | % Missing data: 98.1698449080268
Taxon: perameles_nasuta | Num gaps: 84389 | Missing taxon?: N | % Missing data: 98.1849701567209
Taxon: perameles_nasuta_pallescens | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: peroryctes_broadbenti | Num gaps: 84408 | Missing taxon?: N | % Missing data: 98.2070762894274
Taxon: peroryctes_raffrayana | Num gaps: 84400 | Missing taxon?: N | % Missing data: 98.1977684440773
Taxon: petauroides_volans | Num gaps: 84480 | Missing taxon?: N | % Missing data: 98.2908468975788
Taxon: petaurus_abidi | Num gaps: 84436 | Missing taxon?: N | % Missing data: 98.239653748153
Taxon: petaurus_breviceps | Num gaps: 79882 | Missing taxon?: N | % Missing data: 92.9411627825804
Taxon: petaurus_norfolcensis | Num gaps: 84459 | Missing taxon?: N | % Missing data: 98.2664138035347
Taxon: petrogale_assimilis | Num gaps: 85606 | Missing taxon?: N | % Missing data: 99.6009261306123
Taxon: petrogale_brachyotis | Num gaps: 85601 | Missing taxon?: N | % Missing data: 99.5951087272685
Taxon: petrogale_brachyotis_victoriae | Num gaps: 85602 | Missing taxon?: N | % Missing data: 99.5962722079373
Taxon: petrogale_burbidgei | Num gaps: 85601 | Missing taxon?: N | % Missing data: 99.5951087272685
Taxon: petrogale_concinna | Num gaps: 84374 | Missing taxon?: N | % Missing data: 98.1675179466893
Taxon: petrogale_herberti | Num gaps: 85606 | Missing taxon?: N | % Missing data: 99.6009261306123
Taxon: petrogale_inornata | Num gaps: 85606 | Missing taxon?: N | % Missing data: 99.6009261306123
Taxon: petrogale_lateralis | Num gaps: 84543 | Missing taxon?: N | % Missing data: 98.3641461797112
Taxon: petrogale_lateralis_pearsoni | Num gaps: 85606 | Missing taxon?: N | % Missing data: 99.6009261306123
Taxon: petrogale_mareeba | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: petrogale_penicillata | Num gaps: 85606 | Missing taxon?: N | % Missing data: 99.6009261306123
Taxon: petrogale_persephone | Num gaps: 85606 | Missing taxon?: N | % Missing data: 99.6009261306123
Taxon: petrogale_purpureicollis | Num gaps: 85606 | Missing taxon?: N | % Missing data: 99.6009261306123
Taxon: petrogale_rothschildi | Num gaps: 85606 | Missing taxon?: N | % Missing data: 99.6009261306123
Taxon: petrogale_xanthopus | Num gaps: 84387 | Missing taxon?: N | % Missing data: 98.1826431953833
Taxon: petrogale_xanthopus_celeris | Num gaps: 85606 | Missing taxon?: N | % Missing data: 99.6009261306123
Taxon: petropseudes_dahli | Num gaps: 84377 | Missing taxon?: N | % Missing data: 98.1710083886956
Taxon: phalanger_carmelitae | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: phalanger_gymnotis | Num gaps: 84432 | Missing taxon?: N | % Missing data: 98.2349998254779
Taxon: phalanger_lullulae | Num gaps: 85167 | Missing taxon?: N | % Missing data: 99.0901581170229
Taxon: phalanger_orientalis | Num gaps: 84332 | Missing taxon?: N | % Missing data: 98.118651758601
Taxon: phalanger_sericeus | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: phalanger_vestitus | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: phascogale_calura | Num gaps: 85580 | Missing taxon?: N | % Missing data: 99.5706756332244
Taxon: phascogale_tapoatafa | Num gaps: 84054 | Missing taxon?: N | % Missing data: 97.7952041326833
Taxon: phascolarctos_cinereus | Num gaps: 75067 | Missing taxon?: N | % Missing data: 87.3390033624591
Taxon: phascolosorex_dorsalis | Num gaps: 84489 | Missing taxon?: N | % Missing data: 98.3013182235977
Taxon: murexia_naso | Num gaps: 85576 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: philander_frenatus | Num gaps: 83247 | Missing taxon?: N | % Missing data: 96.856275232987
Taxon: philander_mcilhennyi | Num gaps: 83279 | Missing taxon?: N | % Missing data: 96.8935066143876
Taxon: philander_opossum | Num gaps: 83283 | Missing taxon?: N | % Missing data: 96.8981605370627
Taxon: planigale_gilesi | Num gaps: 85594 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: planigale_ingrami | Num gaps: 85594 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: planigale_maculata | Num gaps: 84501 | Missing taxon?: N | % Missing data: 98.3152799916229
Taxon: planigale_maculata_sinualis | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: planigale_novaeguineae | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: planigale_tenuirostris | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: potorous_gilbertii | Num gaps: 85733 | Missing taxon?: N | % Missing data: 99.748688175546
Taxon: potorous_longipes | Num gaps: 84389 | Missing taxon?: N | % Missing data: 98.1849701567209
Taxon: potorous_tridactylus | Num gaps: 83763 | Missing taxon?: N | % Missing data: 97.4566312580717
Taxon: potorous_tridactylus_apicalis | Num gaps: 85733 | Missing taxon?: N | % Missing data: 99.748688175546
Taxon: potorous_tridactylus_trisulcatus | Num gaps: 85734 | Missing taxon?: N | % Missing data: 99.7498516562147
Taxon: pseudantechinus_bilarni | Num gaps: 85576 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: pseudantechinus_macdonnellensis | Num gaps: 85577 | Missing taxon?: N | % Missing data: 99.567185191218
Taxon: pseudantechinus_mimulus | Num gaps: 85576 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: pseudantechinus_ningbing | Num gaps: 85576 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: pseudantechinus_roryi | Num gaps: 85576 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: pseudantechinus_woolleyae | Num gaps: 85576 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: pseudocheirus_peregrinus | Num gaps: 84012 | Missing taxon?: N | % Missing data: 97.7463379445951
Taxon: pseudochirops_albertisii | Num gaps: 84407 | Missing taxon?: N | % Missing data: 98.2059128087587
Taxon: pseudochirops_archeri | Num gaps: 84382 | Missing taxon?: N | % Missing data: 98.1768257920395
Taxon: pseudochirops_corinnae | Num gaps: 84419 | Missing taxon?: N | % Missing data: 98.2198745767839
Taxon: pseudochirops_cupreus | Num gaps: 79802 | Missing taxon?: N | % Missing data: 92.8480843290789
Taxon: pseudochirulus_canescens | Num gaps: 84420 | Missing taxon?: N | % Missing data: 98.2210380574527
Taxon: pseudochirulus_caroli | Num gaps: 84404 | Missing taxon?: N | % Missing data: 98.2024223667524
Taxon: pseudochirulus_forbesi | Num gaps: 84406 | Missing taxon?: N | % Missing data: 98.2047493280899
Taxon: pseudochirulus_herbertensis | Num gaps: 84444 | Missing taxon?: N | % Missing data: 98.2489615935031
Taxon: pseudochirulus_mayeri | Num gaps: 84405 | Missing taxon?: N | % Missing data: 98.2035858474211
Taxon: rhyncholestes_raphanurus | Num gaps: 80372 | Missing taxon?: N | % Missing data: 93.511268310277
Taxon: rhynchomeles_prattorum | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: sarcophilus_harrisii | Num gaps: 7354 | Missing taxon?: N | % Missing data: 8.55623683812493
Taxon: setonix_brachyurus | Num gaps: 84038 | Missing taxon?: N | % Missing data: 97.776588441983
Taxon: sminthopsis_aitkeni | Num gaps: 85594 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_archeri | Num gaps: 85594 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_bindi | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: sminthopsis_butleri | Num gaps: 85594 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_crassicaudata | Num gaps: 84406 | Missing taxon?: N | % Missing data: 98.2047493280899
Taxon: sminthopsis_dolichura | Num gaps: 85594 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_douglasi | Num gaps: 84119 | Missing taxon?: N | % Missing data: 97.8708303761533
Taxon: sminthopsis_froggatti | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: sminthopsis_gilberti | Num gaps: 85594 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_granulipes | Num gaps: 85594 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_griseoventer | Num gaps: 85594 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_hirtipes | Num gaps: 85594 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_leucopus_ferruginifrons | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: sminthopsis_leucopus_leucopus | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: sminthopsis_longicaudata | Num gaps: 85594 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_macroura | Num gaps: 85445 | Missing taxon?: N | % Missing data: 99.4136057429406
Taxon: sminthopsis_murina | Num gaps: 85594 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_murina_tatei | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: sminthopsis_ooldea | Num gaps: 85594 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_psammophila | Num gaps: 85594 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_stalkeri | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
