Parsing alignment rod_subt2_mt12cp ... ... 
Length alignment: 7320
Number of taxa: 691
Taxon: abeomelomys_sevia | Num gaps: 6106 | Missing taxon?: N | % Missing data: 83.4153005464481
Taxon: akodon_aerosus | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_aff_cursor | Num gaps: 6568 | Missing taxon?: N | % Missing data: 89.7267759562842
Taxon: akodon_affinis | Num gaps: 6566 | Missing taxon?: N | % Missing data: 89.6994535519126
Taxon: akodon_albiventer | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_azarae | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_baliolus | Num gaps: 6570 | Missing taxon?: N | % Missing data: 89.7540983606557
Taxon: akodon_boliviensis | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_budini | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_caenosus | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_cursor | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_dayi | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_dolores | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_fumeus | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_glaucinus | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_iniscatus | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_iniscatus_nucus | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_juninensis | Num gaps: 6564 | Missing taxon?: N | % Missing data: 89.672131147541
Taxon: akodon_kofordi | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: neomicroxus_latebricola | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_lindberghi | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_lutescens | Num gaps: 6590 | Missing taxon?: N | % Missing data: 90.0273224043716
Taxon: akodon_lutescens_puer | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_mimus | Num gaps: 6580 | Missing taxon?: N | % Missing data: 89.8907103825137
Taxon: akodon_molinae | Num gaps: 6570 | Missing taxon?: N | % Missing data: 89.7540983606557
Taxon: akodon_mollis | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_mollis_altorum | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_montensis | Num gaps: 130 | Missing taxon?: N | % Missing data: 1.77595628415301
Taxon: akodon_mystax | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_orophilus | Num gaps: 6564 | Missing taxon?: N | % Missing data: 89.672131147541
Taxon: akodon_paranaensis | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_philipmyersi | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_polopi | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_reigi | Num gaps: 6570 | Missing taxon?: N | % Missing data: 89.7540983606557
Taxon: akodon_serrensis | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_siberiae | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_simulator | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_spegazzinii | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_subfuscus | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_sylvanus | Num gaps: 6602 | Missing taxon?: N | % Missing data: 90.1912568306011
Taxon: akodon_tartareus | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_toba | Num gaps: 6564 | Missing taxon?: N | % Missing data: 89.672131147541
Taxon: akodon_torques | Num gaps: 6564 | Missing taxon?: N | % Missing data: 89.672131147541
Taxon: akodon_varius | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: akodon_viridescens | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: amphinectomys_savamis | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: andalgalomys_pearsoni | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: andalgalomys_pearsoni_dorbignyi | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: andalgalomys_roigi | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: andinomys_edax | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: anisomys_imitator | Num gaps: 6128 | Missing taxon?: N | % Missing data: 83.7158469945355
Taxon: apodemus_agrarius | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: apodemus_agrarius_coreae | Num gaps: 6766 | Missing taxon?: N | % Missing data: 92.431693989071
Taxon: apodemus_alpicola | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: apodemus_argenteus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: apodemus_chejuensis | Num gaps: 112 | Missing taxon?: N | % Missing data: 1.53005464480874
Taxon: apodemus_chevrieri | Num gaps: 112 | Missing taxon?: N | % Missing data: 1.53005464480874
Taxon: apodemus_draco | Num gaps: 112 | Missing taxon?: N | % Missing data: 1.53005464480874
Taxon: apodemus_flavicollis | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: apodemus_gurkha | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: apodemus_hermonensis | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: apodemus_ilex | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: apodemus_latronum | Num gaps: 112 | Missing taxon?: N | % Missing data: 1.53005464480874
Taxon: apodemus_mystacinus | Num gaps: 6104 | Missing taxon?: N | % Missing data: 83.3879781420765
Taxon: apodemus_pallipes | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: apodemus_peninsulae | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: apodemus_ponticus | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: apodemus_semotus | Num gaps: 6110 | Missing taxon?: N | % Missing data: 83.4699453551913
Taxon: apodemus_speciosus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: apodemus_sylvaticus | Num gaps: 6122 | Missing taxon?: N | % Missing data: 83.6338797814208
Taxon: apodemus_uralensis | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: apodemus_wardi | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: apomys_abrae | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: apomys_camiguinensis | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: apomys_datae | Num gaps: 6110 | Missing taxon?: N | % Missing data: 83.4699453551913
Taxon: apomys_gracilirostris | Num gaps: 6564 | Missing taxon?: N | % Missing data: 89.672131147541
Taxon: apomys_hylocoetes | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: apomys_insignis | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: apomys_iridensis | Num gaps: 6608 | Missing taxon?: N | % Missing data: 90.2732240437158
Taxon: apomys_lubangensis | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: apomys_microdon | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: apomys_musculus | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: apomys_sacobianus | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: archboldomys_luzonensis | Num gaps: 6104 | Missing taxon?: N | % Missing data: 83.3879781420765
Taxon: arvicanthis_abyssinicus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: arvicanthis_dembeensis | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: arvicanthis_niloticus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: arvicanthis_somalicus | Num gaps: 6106 | Missing taxon?: N | % Missing data: 83.4153005464481
Taxon: auliscomys_boliviensis | Num gaps: 6554 | Missing taxon?: N | % Missing data: 89.5355191256831
Taxon: auliscomys_micropus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: auliscomys_pictus | Num gaps: 6712 | Missing taxon?: N | % Missing data: 91.6939890710382
Taxon: auliscomys_sublimis | Num gaps: 6722 | Missing taxon?: N | % Missing data: 91.8306010928962
Taxon: bandicota_bengalensis~ | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: bandicota_indica~ | Num gaps: 112 | Missing taxon?: N | % Missing data: 1.53005464480874
Taxon: bandicota_savilei~ | Num gaps: 6564 | Missing taxon?: N | % Missing data: 89.672131147541
Taxon: batomys_granti | Num gaps: 6108 | Missing taxon?: N | % Missing data: 83.4426229508197
Taxon: batomys_salomonseni | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: berylmys_berdmorei | Num gaps: 6572 | Missing taxon?: N | % Missing data: 89.7814207650273
Taxon: berylmys_bowersi | Num gaps: 6108 | Missing taxon?: N | % Missing data: 83.4426229508197
Taxon: bibimys | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: blarinomys_breviceps | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: necromys_amoenus | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: necromys_lasiurus | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: necromys_temchuki | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: necromys_urichi | Num gaps: 6564 | Missing taxon?: N | % Missing data: 89.672131147541
Taxon: brachiones_przewalskii | Num gaps: 6114 | Missing taxon?: N | % Missing data: 83.5245901639344
Taxon: brucepattersonius | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: bullimus_bagobus | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: bullimus_gamay | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: bullimus_luzonicus | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: bunomys_andrewsi | Num gaps: 6136 | Missing taxon?: N | % Missing data: 83.8251366120219
Taxon: bunomys_chrysocomus | Num gaps: 6672 | Missing taxon?: N | % Missing data: 91.1475409836066
Taxon: bunomys_penitus | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: calomys_aff_expulsus | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: calomys_callosus | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: calomys_expulsus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: calomys_fecundus | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: calomys_hummelincki | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: calomys_laucha | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: calomys_lepidus | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: calomys_musculinus | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: calomys_sorellus | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: calomys_tener | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: calomys_tocantinsi | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: calomys_venustus | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: carpomys_phaeurus | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: cerradomys_scotti | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: cerradomys_subflavus | Num gaps: 6610 | Missing taxon?: N | % Missing data: 90.3005464480874
Taxon: chelemys_macronyx | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: chelemys_megalonyx | Num gaps: 6580 | Missing taxon?: N | % Missing data: 89.8907103825137
Taxon: chilomys_instans | Num gaps: 6576 | Missing taxon?: N | % Missing data: 89.8360655737705
Taxon: chinchillula_sahamae | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: chiromyscus_chiropus | Num gaps: 6106 | Missing taxon?: N | % Missing data: 83.4153005464481
Taxon: chiromyscus_langbianis | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: chiromyscus_thomasi | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: chiropodomys_gliroides | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: chiruromys_vates | Num gaps: 6130 | Missing taxon?: N | % Missing data: 83.7431693989071
Taxon: chrotomys_gonzalesi | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: chrotomys_mindorensis | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: chrotomys_sibuyanensis | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: chrotomys_silaceus | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: chrotomys_whiteheadi | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: colomys_goslingi | Num gaps: 6564 | Missing taxon?: N | % Missing data: 89.672131147541
Taxon: conilurus_penicillatus | Num gaps: 6108 | Missing taxon?: N | % Missing data: 83.4426229508197
Taxon: crateromys_heaneyi | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: cremnomys_cutchicus | Num gaps: 6584 | Missing taxon?: N | % Missing data: 89.9453551912568
Taxon: crossomys_moncktoni | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crunomys_celebensis | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crunomys_melanius | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: crunomys_suncoides | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: dacnomys_millardi | Num gaps: 6106 | Missing taxon?: N | % Missing data: 83.4153005464481
Taxon: dasymys_incomtus | Num gaps: 6106 | Missing taxon?: N | % Missing data: 83.4153005464481
Taxon: dasymys_rufulus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: delomys_collinus | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: delomys_dorsalis | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: delomys_sublineatus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: deltamys_kempi | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: deltamys_kempi_langutthi | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: dephomys_defua~ | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: desmodilliscus_braueri | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: desmodillus_auricularis | Num gaps: 6106 | Missing taxon?: N | % Missing data: 83.4153005464481
Taxon: desmomys_harringtoni | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: diplothrix_legata~ | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: dipodillus_campestris | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: dipodillus_dasyurus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: dipodillus_rupicola | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: dipodillus_simoni | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: drymoreomys_albimaculatus | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: echiothrix_centrosa | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: eligmodontia_bolsonensis | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: eligmodontia_hirtipes | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: eligmodontia_moreni | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: eligmodontia_morgani | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: eligmodontia_puerulus | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: eligmodontia_typus | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: eremoryzomys_polius | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: euneomys_chinchilloides | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: euryoryzomys_lamia | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: euryoryzomys_macconnelli | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: euryoryzomys_nitidus | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: euryoryzomys_russatus | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: galenomys_garleppi | Num gaps: 6554 | Missing taxon?: N | % Missing data: 89.5355191256831
Taxon: geoxus_valdivianus | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: gerbilliscus_afra | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: gerbilliscus_brantsii | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: gerbilliscus_gambianus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: gerbilliscus_guineae | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: gerbilliscus_kempi | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: gerbilliscus_leucogaster | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: gerbilliscus_nigricaudus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: gerbilliscus_phillipsi | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: gerbilliscus_robustus | Num gaps: 6106 | Missing taxon?: N | % Missing data: 83.4153005464481
Taxon: gerbilliscus_vicinus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: gerbillurus_paeba | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: gerbillurus_setzeri | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: gerbillurus_tytonis | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: gerbillurus_vallinus | Num gaps: 6106 | Missing taxon?: N | % Missing data: 83.4153005464481
Taxon: gerbillus_amoenus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: gerbillus_andersoni | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: gerbillus_cheesmani | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: gerbillus_floweri | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: gerbillus_gerbillus | Num gaps: 6106 | Missing taxon?: N | % Missing data: 83.4153005464481
Taxon: gerbillus_henleyi | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: gerbillus_hesperinus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: gerbillus_hoogstrali | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: gerbillus_latastei | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: gerbillus_nancillus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: gerbillus_nanus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: gerbillus_nigeriae | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: gerbillus_occiduus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: gerbillus_perpallidus | Num gaps: 6568 | Missing taxon?: N | % Missing data: 89.7267759562842
Taxon: gerbillus_poecilops | Num gaps: 6578 | Missing taxon?: N | % Missing data: 89.8633879781421
Taxon: gerbillus_pyramidum | Num gaps: 6570 | Missing taxon?: N | % Missing data: 89.7540983606557
Taxon: gerbillus_tarabuli | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: golunda_ellioti | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: grammomys_dolichurus | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: grammomys_gazellae | Num gaps: 6654 | Missing taxon?: N | % Missing data: 90.9016393442623
Taxon: grammomys_ibeanus | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: grammomys_macmillani | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: grammomys_surdaster | Num gaps: 6632 | Missing taxon?: N | % Missing data: 90.6010928961749
Taxon: graomys_centralis | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: graomys_chacoensis | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: graomys_domorum | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: graomys_griseoflavus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: halmaheramys_bokimekot | Num gaps: 6688 | Missing taxon?: N | % Missing data: 91.3661202185792
Taxon: handleyomys_alfaroi | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: handleyomys_chapmani | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: handleyomys_guerrerensis | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: handleyomys_melanotis | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: handleyomys_rostratus | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: handleyomys_saturatior | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: heimyscus_fumosus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: holochilus_brasiliensis | Num gaps: 5928 | Missing taxon?: N | % Missing data: 80.983606557377
Taxon: holochilus_chacarius | Num gaps: 6536 | Missing taxon?: N | % Missing data: 89.2896174863388
Taxon: holochilus_sciureus | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: hybomys_univittatus | Num gaps: 6106 | Missing taxon?: N | % Missing data: 83.4153005464481
Taxon: hydromys_chrysogaster | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: hylaeamys_acritus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: hylaeamys_laticeps | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: hylaeamys_megacephalus | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: hylaeamys_perenensis | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: hylaeamys_yunganus | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: hylomyscus_aeta | Num gaps: 6568 | Missing taxon?: N | % Missing data: 89.7267759562842
Taxon: hylomyscus_alleni | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: hylomyscus_anselli | Num gaps: 6568 | Missing taxon?: N | % Missing data: 89.7267759562842
Taxon: hylomyscus_arcimontensis | Num gaps: 6576 | Missing taxon?: N | % Missing data: 89.8360655737705
Taxon: hylomyscus_baeri | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: hylomyscus_denniae | Num gaps: 6574 | Missing taxon?: N | % Missing data: 89.8087431693989
Taxon: hylomyscus_vulcanorum | Num gaps: 6574 | Missing taxon?: N | % Missing data: 89.8087431693989
Taxon: hylomyscus_endorobae | Num gaps: 6574 | Missing taxon?: N | % Missing data: 89.8087431693989
