Parsing alignment ctenohystrica_nt12cp ... ... 
Length alignment: 33287
Number of taxa: 210
Taxon: abrocoma_bennettii | Num gaps: 21739 | Missing taxon?: N | % Missing data: 65.3077778111575
Taxon: ctenomys_scagliai | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_sericeus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_sociabilis | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_steinbachi | Num gaps: 32697 | Missing taxon?: N | % Missing data: 98.2275362754228
Taxon: ctenomys_talarum | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_torquatus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_tuconax | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_tucumanus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: cuniculus_paca | Num gaps: 30455 | Missing taxon?: N | % Missing data: 91.4921741220296
Taxon: cuniculus_taczanowskii | Num gaps: 21421 | Missing taxon?: N | % Missing data: 64.3524499053685
Taxon: cuscomys_ashaninka~ | Num gaps: 31535 | Missing taxon?: N | % Missing data: 94.7366839907471
Taxon: dactylomys_boliviensis | Num gaps: 31239 | Missing taxon?: N | % Missing data: 93.8474479526542
Taxon: dactylomys_dactylinus | Num gaps: 31545 | Missing taxon?: N | % Missing data: 94.7667257487908
Taxon: dasyprocta_fuliginosa | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: dasyprocta_leporina | Num gaps: 31917 | Missing taxon?: N | % Missing data: 95.8842791480157
Taxon: dasyprocta_punctata | Num gaps: 22439 | Missing taxon?: N | % Missing data: 67.4107008742152
Taxon: dinomys_branickii | Num gaps: 21627 | Missing taxon?: N | % Missing data: 64.9713101210683
Taxon: diplomys_labilis | Num gaps: 32789 | Missing taxon?: N | % Missing data: 98.5039204494247
Taxon: dolichotis_patagonum | Num gaps: 31759 | Missing taxon?: N | % Missing data: 95.4096193709256
Taxon: dolichotis_patagonum_centricola | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: dolichotis_salinicola | Num gaps: 32751 | Missing taxon?: N | % Missing data: 98.3897617688587
Taxon: echimys_chrysurus | Num gaps: 28869 | Missing taxon?: N | % Missing data: 86.7275512963019
Taxon: erethizon_dorsatum | Num gaps: 19471 | Missing taxon?: N | % Missing data: 58.4943070868507
Taxon: euryzygomatomys_spinosus | Num gaps: 30489 | Missing taxon?: N | % Missing data: 91.5943160993781
Taxon: fukomys_amatus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_anselli | Num gaps: 30713 | Missing taxon?: N | % Missing data: 92.2672514795566
Taxon: fukomys_bocagei | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_choma | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_darlingi | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_foxi | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_kafuensis | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_mechowii | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_micklemi | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_ochraceocinereus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_whytei | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_whytei_occlusus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: galea_musteloides | Num gaps: 31249 | Missing taxon?: N | % Missing data: 93.8774897106979
Taxon: galea_musteloides_leucoblephara | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: galea_spixii | Num gaps: 32753 | Missing taxon?: N | % Missing data: 98.3957701204674
Taxon: geocapromys_brownii | Num gaps: 31863 | Missing taxon?: N | % Missing data: 95.7220536545799
Taxon: geocapromys_ingrahami | Num gaps: 31411 | Missing taxon?: N | % Missing data: 94.3641661910055
Taxon: georychus_capensis | Num gaps: 32723 | Missing taxon?: N | % Missing data: 98.3056448463364
Taxon: heliophobius_argenteocinereus | Num gaps: 30543 | Missing taxon?: N | % Missing data: 91.756541592814
Taxon: heterocephalus_glaber | Num gaps: 13657 | Missing taxon?: N | % Missing data: 41.0280289602548
Taxon: hoplomys_gymnurus | Num gaps: 24557 | Missing taxon?: N | % Missing data: 73.7735452278667
Taxon: hydrochoerus_hydrochaeris | Num gaps: 22217 | Missing taxon?: N | % Missing data: 66.7437738456454
Taxon: hystrix_africaeaustralis | Num gaps: 29045 | Missing taxon?: N | % Missing data: 87.2562862378706
Taxon: hystrix_brachyura | Num gaps: 23129 | Missing taxon?: N | % Missing data: 69.4835821792291
Taxon: hystrix_cristata | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: isothrix_barbarabrownae | Num gaps: 31509 | Missing taxon?: N | % Missing data: 94.6585754198336
Taxon: isothrix_bistriata | Num gaps: 31285 | Missing taxon?: N | % Missing data: 93.9856400396551
Taxon: isothrix_orinoci | Num gaps: 31989 | Missing taxon?: N | % Missing data: 96.1005798059302
Taxon: isothrix_pagurus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: isothrix_sinnamariensis | Num gaps: 31307 | Missing taxon?: N | % Missing data: 94.0517319073512
Taxon: kannabateomys_amblyonyx | Num gaps: 32615 | Missing taxon?: N | % Missing data: 97.9811938594647
Taxon: kerodon_acrobata | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: kerodon_rupestris | Num gaps: 32275 | Missing taxon?: N | % Missing data: 96.9597740859795
Taxon: lagidium_viscacia | Num gaps: 32745 | Missing taxon?: N | % Missing data: 98.3717367140325
Taxon: lagostomus_maximus | Num gaps: 32725 | Missing taxon?: N | % Missing data: 98.3116531979451
Taxon: laonastes_aenigmamus | Num gaps: 24413 | Missing taxon?: N | % Missing data: 73.3409439120377
Taxon: lonchothrix_emiliae | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: makalata_didelphoides | Num gaps: 30447 | Missing taxon?: N | % Missing data: 91.4681407155947
Taxon: makalata_macrura | Num gaps: 31247 | Missing taxon?: N | % Missing data: 93.8714813590891
Taxon: massoutiera_mzabi | Num gaps: 31009 | Missing taxon?: N | % Missing data: 93.1564875176495
Taxon: mesocapromys_angelcabrerai | Num gaps: 31511 | Missing taxon?: N | % Missing data: 94.6645837714423
Taxon: mesocapromys_auritus | Num gaps: 31295 | Missing taxon?: N | % Missing data: 94.0156817976988
Taxon: mesocapromys_melanurus | Num gaps: 32589 | Missing taxon?: N | % Missing data: 97.9030852885511
Taxon: mesomys_hispidus | Num gaps: 31273 | Missing taxon?: N | % Missing data: 93.9495899300027
Taxon: mesomys_occultus | Num gaps: 32021 | Missing taxon?: N | % Missing data: 96.19671343167
Taxon: mesomys_stimulax | Num gaps: 32019 | Missing taxon?: N | % Missing data: 96.1907050800613
Taxon: microcavia | Num gaps: 32753 | Missing taxon?: N | % Missing data: 98.3957701204674
Taxon: myocastor_coypus | Num gaps: 21363 | Missing taxon?: N | % Missing data: 64.1782077087151
Taxon: myoprocta_acouchy | Num gaps: 31487 | Missing taxon?: N | % Missing data: 94.5924835521375
Taxon: myoprocta_pratti | Num gaps: 32753 | Missing taxon?: N | % Missing data: 98.3957701204674
Taxon: mysateles_prehensilis | Num gaps: 31297 | Missing taxon?: N | % Missing data: 94.0216901493075
Taxon: octodon_bridgesi | Num gaps: 31185 | Missing taxon?: N | % Missing data: 93.6852224592183
Taxon: octodon_degus | Num gaps: 31825 | Missing taxon?: N | % Missing data: 95.6078949740139
Taxon: octodon_lunatus | Num gaps: 31005 | Missing taxon?: N | % Missing data: 93.1444708144321
Taxon: octodontomys_gliroides | Num gaps: 21893 | Missing taxon?: N | % Missing data: 65.7704208850302
Taxon: octomys_mimax | Num gaps: 32695 | Missing taxon?: N | % Missing data: 98.2215279238141
Taxon: olallamys_albicauda | Num gaps: 32733 | Missing taxon?: N | % Missing data: 98.3356866043801
Taxon: pattonomys_occasius~ | Num gaps: 32825 | Missing taxon?: N | % Missing data: 98.6120707783819
Taxon: pattonomys_semivillosus~ | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: petromus_typicus | Num gaps: 24279 | Missing taxon?: N | % Missing data: 72.9383843542524
Taxon: phyllomys_aff_dasythrix | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: phyllomys_blainvillii | Num gaps: 30687 | Missing taxon?: N | % Missing data: 92.189142908643
Taxon: phyllomys_brasiliensis | Num gaps: 31691 | Missing taxon?: N | % Missing data: 95.2053354162286
Taxon: phyllomys_dasythrix | Num gaps: 31147 | Missing taxon?: N | % Missing data: 93.5710637786523
Taxon: phyllomys_lamarum | Num gaps: 31675 | Missing taxon?: N | % Missing data: 95.1572686033587
Taxon: phyllomys_lundi | Num gaps: 31689 | Missing taxon?: N | % Missing data: 95.1993270646198
Taxon: phyllomys_mantiqueirensis | Num gaps: 31679 | Missing taxon?: N | % Missing data: 95.1692853065761
Taxon: phyllomys_nigrispinus | Num gaps: 31731 | Missing taxon?: N | % Missing data: 95.3255024484033
Taxon: phyllomys_pattoni | Num gaps: 31271 | Missing taxon?: N | % Missing data: 93.943581578394
Taxon: phyllomys_sulinus | Num gaps: 31691 | Missing taxon?: N | % Missing data: 95.2053354162286
Taxon: phyllomys_unicolor | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: pipanacoctomys_aureus | Num gaps: 32653 | Missing taxon?: N | % Missing data: 98.0953525400306
Taxon: plagiodontia_aedium | Num gaps: 31511 | Missing taxon?: N | % Missing data: 94.6645837714423
Taxon: proechimys_cuvieri | Num gaps: 31185 | Missing taxon?: N | % Missing data: 93.6852224592183
Taxon: proechimys_guyannensis | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: proechimys_longicaudatus | Num gaps: 32007 | Missing taxon?: N | % Missing data: 96.1546549704089
Taxon: proechimys_oris | Num gaps: 32449 | Missing taxon?: N | % Missing data: 97.4825006759396
Taxon: proechimys_quadruplicatus | Num gaps: 32541 | Missing taxon?: N | % Missing data: 97.7588848499414
Taxon: proechimys_roberti | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: proechimys_simonsi | Num gaps: 31261 | Missing taxon?: N | % Missing data: 93.9135398203503
Taxon: santamartamys_rufodorsalis | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: spalacopus_cyanus | Num gaps: 32695 | Missing taxon?: N | % Missing data: 98.2215279238141
Taxon: thrichomys_aff_apereoides | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: thrichomys_aff_inermis | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: thrichomys_apereoides_apereoides | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: thrichomys_fosteri | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: thrichomys_inermis | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: thrichomys_laurenteus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: thrichomys_pachyurus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: thryonomys_swinderianus | Num gaps: 25203 | Missing taxon?: N | % Missing data: 75.7142427974885
Taxon: toromys_grandis | Num gaps: 32275 | Missing taxon?: N | % Missing data: 96.9597740859795
Taxon: toromys_rhipidurus | Num gaps: 32793 | Missing taxon?: N | % Missing data: 98.5159371526422
Taxon: trichys_fasciculata | Num gaps: 30161 | Missing taxon?: N | % Missing data: 90.6089464355454
Taxon: trinomys_albispinus | Num gaps: 32263 | Missing taxon?: N | % Missing data: 96.9237239763271
Taxon: trinomys_dimidiatus | Num gaps: 32637 | Missing taxon?: N | % Missing data: 98.0472857271608
Taxon: trinomys_eliasi | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: trinomys_gratiosus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: trinomys_iheringi | Num gaps: 31371 | Missing taxon?: N | % Missing data: 94.2439991588308
Taxon: trinomys_moojeni | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: trinomys_paratus | Num gaps: 31977 | Missing taxon?: N | % Missing data: 96.0645296962778
Taxon: trinomys_setosus_elegans | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: trinomys_yonenagae | Num gaps: 31995 | Missing taxon?: N | % Missing data: 96.1186048607564
Taxon: tympanoctomys_barrerae | Num gaps: 32697 | Missing taxon?: N | % Missing data: 98.2275362754228
Taxon: tympanoctomys_loschalchalerosorum | Num gaps: 31585 | Missing taxon?: N | % Missing data: 94.8868927809655
Taxon: ornithorhynchus_anatinus | Num gaps: 17257 | Missing taxon?: N | % Missing data: 51.8430618559798
Taxon: zaglossus_bruijni | Num gaps: 32619 | Missing taxon?: N | % Missing data: 97.9932105626821
Taxon: tachyglossus_aculeatus | Num gaps: 26565 | Missing taxon?: N | % Missing data: 79.8059302430378
Taxon: ictidomys_tridecemlineatus | Num gaps: 9481 | Missing taxon?: N | % Missing data: 28.4825908012137
Taxon: fukomys_damarensis | Num gaps: 28685 | Missing taxon?: N | % Missing data: 86.1747829482981

Number of missing taxa = 94
Number of present taxa = 116
Total number of taxa = 210

Eq: num_gaps / ( num_taxa * len_aln ) --> (3128978+3439014)/((94+116)*33287)
Avg missing data before removing missing taxa = 0.93959060236586 = 93.959060236586%
Eq: num_gaps / ( num_taxa * len_aln ) --> 3439014/(116*33287)
Avg missing data after removing missing taxa = 0.890638159455436 = 89.0638159455436%

