Parsing alignment euarchonta_nt3cp ... ... 
Length alignment: 96854
Number of taxa: 486
Taxon: allenopithecus_nigroviridis | Num gaps: 92636 | Missing taxon?: N | % Missing data: 95.6449914304004
Taxon: cebus_capucinus | Num gaps: 95529 | Missing taxon?: N | % Missing data: 98.6319615090755
Taxon: cebus_kaapori | Num gaps: 96707 | Missing taxon?: N | % Missing data: 99.8482251636484
Taxon: cebus_olivaceus | Num gaps: 95714 | Missing taxon?: N | % Missing data: 98.822970656865
Taxon: cercocebus_agilis | Num gaps: 95660 | Missing taxon?: N | % Missing data: 98.767216635348
Taxon: cercocebus_atys | Num gaps: 86860 | Missing taxon?: N | % Missing data: 89.6813760918496
Taxon: cercocebus_atys_lunulatus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercocebus_chrysogaster | Num gaps: 93184 | Missing taxon?: N | % Missing data: 96.2107915006092
Taxon: cercocebus_galeritus | Num gaps: 96519 | Missing taxon?: N | % Missing data: 99.6541185702191
Taxon: cercocebus_torquatus | Num gaps: 93911 | Missing taxon?: N | % Missing data: 96.9614058273277
Taxon: cercopithecus_mitis_albotorquatus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_mitis_erythrarchus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_mitis_francescae | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_mitis_kolbi | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_mitis_labiatus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_mitis_moloneyi | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_mitis_monoides | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_ascanius_ascanius | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_ascanius_katangae | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_ascanius_schmidti | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_ascanius_whitesidei | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_campbelli | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_cephus | Num gaps: 96188 | Missing taxon?: N | % Missing data: 99.312367067958
Taxon: cercopithecus_cephus_cephodes | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_cephus_ngottoensis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_denti | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_diana | Num gaps: 95050 | Missing taxon?: N | % Missing data: 98.1374026885828
Taxon: cercopithecus_mitis_doggetti | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_dryas | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_erythrogaster_pococki | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_erythrotis_camerunensis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_erythrotis_erythrotis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_hamlyni | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_mitis_kandti | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_lhoesti | Num gaps: 96523 | Missing taxon?: N | % Missing data: 99.6582484977389
Taxon: cercopithecus_mitis | Num gaps: 93312 | Missing taxon?: N | % Missing data: 96.3429491812419
Taxon: cercopithecus_mitis_boutourlinii | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_mitis_heymansi | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_mitis_opisthostictus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_mitis_stuhlmanni | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_mona | Num gaps: 95415 | Missing taxon?: N | % Missing data: 98.514258574762
Taxon: cercopithecus_neglectus | Num gaps: 95983 | Missing taxon?: N | % Missing data: 99.1007082825696
Taxon: cercopithecus_nictitans_martini | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_nictitans_nictitans | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_petaurista_buettikoferi | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_petaurista_petaurista | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_pogonias_grayi | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_pogonias_nigripes | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_pogonias_pogonias | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_pogonias_schwarzianus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_preussi_insularis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_preussi_preussi | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_roloway | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_solatus | Num gaps: 96020 | Missing taxon?: N | % Missing data: 99.1389101121275
Taxon: cercopithecus_wolfi | Num gaps: 84785 | Missing taxon?: N | % Missing data: 87.5389761909678
Taxon: cercopithecus_wolfi_elegans | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_wolfi_pyrogaster | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cheirogaleus_crossleyi | Num gaps: 96731 | Missing taxon?: N | % Missing data: 99.873004728767
Taxon: cheirogaleus_lavasoensis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cheirogaleus_major | Num gaps: 96074 | Missing taxon?: N | % Missing data: 99.1946641336445
Taxon: cheirogaleus_medius | Num gaps: 95131 | Missing taxon?: N | % Missing data: 98.2210337208582
Taxon: cheirogaleus_sibreei | Num gaps: 96731 | Missing taxon?: N | % Missing data: 99.873004728767
Taxon: chiropotes_albinasus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: chiropotes_chiropotes | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: chiropotes_chiropotes_sagulata | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: chiropotes_israelita | Num gaps: 96494 | Missing taxon?: N | % Missing data: 99.6283065232205
Taxon: chiropotes_satanas | Num gaps: 95650 | Missing taxon?: N | % Missing data: 98.7568918165486
Taxon: chiropotes_utahickae | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: chlorocebus_aethiops | Num gaps: 80138 | Missing taxon?: N | % Missing data: 82.7410328948727
Taxon: chlorocebus_cynosuros | Num gaps: 96707 | Missing taxon?: N | % Missing data: 99.8482251636484
Taxon: chlorocebus_djamdjamensis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: chlorocebus_pygerythrus | Num gaps: 95831 | Missing taxon?: N | % Missing data: 98.9437710368183
Taxon: chlorocebus_sabaeus | Num gaps: 6299 | Missing taxon?: N | % Missing data: 6.503603361761
Taxon: chlorocebus_tantalus | Num gaps: 95796 | Missing taxon?: N | % Missing data: 98.9076341710203
Taxon: colobus_angolensis | Num gaps: 94878 | Missing taxon?: N | % Missing data: 97.9598158052326
Taxon: colobus_angolensis_palliatus | Num gaps: 96018 | Missing taxon?: N | % Missing data: 99.1368451483676
Taxon: colobus_guereza | Num gaps: 73171 | Missing taxon?: N | % Missing data: 75.5477316373098
Taxon: colobus_guereza_caudatus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: colobus_guereza_kikuyuensis | Num gaps: 96494 | Missing taxon?: N | % Missing data: 99.6283065232205
Taxon: colobus_guereza_matschiei | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: colobus_guereza_occidentalis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: colobus_polykomos | Num gaps: 92600 | Missing taxon?: N | % Missing data: 95.6078220827224
Taxon: colobus_satanas_satanas | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: colobus_vellerosus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cynocephalus_volans | Num gaps: 90774 | Missing taxon?: N | % Missing data: 93.7225101699465
Taxon: daubentonia_madagascariensis | Num gaps: 90751 | Missing taxon?: N | % Missing data: 93.6987630867078
Taxon: dendrogale_melanura | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: dendrogale_murina | Num gaps: 96373 | Missing taxon?: N | % Missing data: 99.5033762157474
Taxon: erythrocebus_patas | Num gaps: 85276 | Missing taxon?: N | % Missing data: 88.0459247940199
Taxon: eulemur_albifrons | Num gaps: 95968 | Missing taxon?: N | % Missing data: 99.0852210543705
Taxon: eulemur_cinereiceps | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: eulemur_coronatus | Num gaps: 96173 | Missing taxon?: N | % Missing data: 99.2968798397588
Taxon: eulemur_flavifrons | Num gaps: 96158 | Missing taxon?: N | % Missing data: 99.2813926115597
Taxon: eulemur_collaris | Num gaps: 95232 | Missing taxon?: N | % Missing data: 98.3253143907324
Taxon: eulemur_fulvus_fulvus | Num gaps: 95615 | Missing taxon?: N | % Missing data: 98.7207549507506
Taxon: eulemur_fulvus_mayottensis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: eulemur_macaco_macaco | Num gaps: 96289 | Missing taxon?: N | % Missing data: 99.4166477378322
Taxon: eulemur_mongoz | Num gaps: 96158 | Missing taxon?: N | % Missing data: 99.2813926115597
Taxon: eulemur_rubriventer | Num gaps: 96419 | Missing taxon?: N | % Missing data: 99.5508703822248
Taxon: eulemur_rufifrons | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: eulemur_rufus | Num gaps: 96162 | Missing taxon?: N | % Missing data: 99.2855225390794
Taxon: eulemur_sanfordi | Num gaps: 96461 | Missing taxon?: N | % Missing data: 99.5942346211824
Taxon: euoticus_elegantulus | Num gaps: 95471 | Missing taxon?: N | % Missing data: 98.5720775600388
Taxon: galago_alleni | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: galago_gabonensis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: galagoides_granti | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: galago_matschiei | Num gaps: 96159 | Missing taxon?: N | % Missing data: 99.2824250934396
Taxon: galago_moholi | Num gaps: 95924 | Missing taxon?: N | % Missing data: 99.039791851653
Taxon: galago_senegalensis | Num gaps: 94813 | Missing taxon?: N | % Missing data: 97.8927044830363
Taxon: galago_senegalensis_braccatus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: galago_senegalensis_senegalensis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: galagoides_cocos | Num gaps: 96481 | Missing taxon?: N | % Missing data: 99.6148842587813
Taxon: galagoides_demidoff | Num gaps: 95348 | Missing taxon?: N | % Missing data: 98.4450822888058
Taxon: galagoides_demidoff_murinus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: galagoides_orinus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: galagoides_rondoensis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: galagoides_thomasi | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: galagoides_zanzibaricus_udzungwensis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: galagoides_zanzibaricus_zanzibaricus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: galeopterus_variegatus | Num gaps: 89987 | Missing taxon?: N | % Missing data: 92.9099469304314
Taxon: galeopterus_variegatus_peninsulae | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: gorilla_beringei_graueri | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: gorilla_gorilla | Num gaps: 7557 | Missing taxon?: N | % Missing data: 7.8024655667293
Taxon: hapalemur_aureus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: hapalemur_griseus | Num gaps: 95722 | Missing taxon?: N | % Missing data: 98.8312305119045
Taxon: hapalemur_griseus_alaotrensis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: hapalemur_griseus_meridionalis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: hapalemur_griseus_occidentalis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: homo_sapiens | Num gaps: 1468 | Missing taxon?: N | % Missing data: 1.51568339975633
Taxon: hoolock_hoolock | Num gaps: 92863 | Missing taxon?: N | % Missing data: 95.8793648171475
Taxon: hoolock_leuconedys | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: hylobates_agilis | Num gaps: 81088 | Missing taxon?: N | % Missing data: 83.7218906808185
Taxon: hylobates_agilis_unko | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: hylobates_alibarbis | Num gaps: 95763 | Missing taxon?: N | % Missing data: 98.8735622689822
Taxon: hylobates_klossii | Num gaps: 96317 | Missing taxon?: N | % Missing data: 99.4455572304706
Taxon: hylobates_lar | Num gaps: 73118 | Missing taxon?: N | % Missing data: 75.4930100976728
Taxon: hylobates_lar_carpenteri | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: hylobates_lar_entelloides | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: hylobates_lar_vestitus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: hylobates_moloch | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: hylobates_muelleri | Num gaps: 94530 | Missing taxon?: N | % Missing data: 97.6005121110124
Taxon: hylobates_muelleri_abbotti | Num gaps: 94322 | Missing taxon?: N | % Missing data: 97.3857558799843
Taxon: hylobates_muelleri_funereus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: hylobates_pileatus | Num gaps: 89627 | Missing taxon?: N | % Missing data: 92.5382534536519
Taxon: indri_indri | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: lagothrix_cana | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: lagothrix_lagotricha | Num gaps: 88155 | Missing taxon?: N | % Missing data: 91.0184401263758
Taxon: lagothrix_lugens | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: lagothrix_poeppigii | Num gaps: 96531 | Missing taxon?: N | % Missing data: 99.6665083527784
Taxon: lemur_catta | Num gaps: 87974 | Missing taxon?: N | % Missing data: 90.8315609061061
Taxon: leontopithecus_chrysomelas | Num gaps: 93071 | Missing taxon?: N | % Missing data: 96.0941210481756
Taxon: leontopithecus_rosalia | Num gaps: 92982 | Missing taxon?: N | % Missing data: 96.0022301608607
Taxon: lepilemur_aeeclis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: lepilemur_ankaranensis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: lepilemur_dorsalis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: lepilemur_edwardsi | Num gaps: 94902 | Missing taxon?: N | % Missing data: 97.9845953703512
Taxon: lepilemur_hubbardorum | Num gaps: 96506 | Missing taxon?: N | % Missing data: 99.6406963057798
Taxon: lepilemur_jamesi | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: lepilemur_leucopus | Num gaps: 96505 | Missing taxon?: N | % Missing data: 99.6396638238999
Taxon: lepilemur_microdon | Num gaps: 96510 | Missing taxon?: N | % Missing data: 99.6448262332996
Taxon: lepilemur_mitsinjoensis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: lepilemur_mittermeieri | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: lepilemur_mustelinus | Num gaps: 96506 | Missing taxon?: N | % Missing data: 99.6406963057798
Taxon: lepilemur_otto | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: lepilemur_petteri | Num gaps: 96506 | Missing taxon?: N | % Missing data: 99.6406963057798
Taxon: lepilemur_randrianasoloi | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: lepilemur_ruficaudatus | Num gaps: 96172 | Missing taxon?: N | % Missing data: 99.2958473578789
Taxon: lepilemur_sahamalazensis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: lepilemur_seali | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: lepilemur_septentrionalis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: lophocebus_aterrimus | Num gaps: 94900 | Missing taxon?: N | % Missing data: 97.9825304065914
Taxon: loris_lydekkerianus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: loris_tardigradus | Num gaps: 95339 | Missing taxon?: N | % Missing data: 98.4357899518863
Taxon: loris_lydekkerianus_nordicus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: macaca_arctoides | Num gaps: 92048 | Missing taxon?: N | % Missing data: 95.0378920849939
Taxon: macaca_assamensis | Num gaps: 92858 | Missing taxon?: N | % Missing data: 95.8742024077477
Taxon: macaca_brunnescens | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: macaca_cyclopis | Num gaps: 96405 | Missing taxon?: N | % Missing data: 99.5364156359056
Taxon: macaca_fascicularis | Num gaps: 62836 | Missing taxon?: N | % Missing data: 64.8770314080988
Taxon: macaca_fuscata | Num gaps: 90216 | Missing taxon?: N | % Missing data: 93.1463852809383
Taxon: macaca_hecki | Num gaps: 96405 | Missing taxon?: N | % Missing data: 99.5364156359056
Taxon: macaca_leonina | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: macaca_maura | Num gaps: 96405 | Missing taxon?: N | % Missing data: 99.5364156359056
Taxon: macaca_mulatta | Num gaps: 8752 | Missing taxon?: N | % Missing data: 9.0362814132612
Taxon: macaca_mulatta_lasiotus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: macaca_nemestrina | Num gaps: 90095 | Missing taxon?: N | % Missing data: 93.0214549734652
Taxon: macaca_nigra | Num gaps: 96053 | Missing taxon?: N | % Missing data: 99.1729820141657
Taxon: macaca_nigrescens | Num gaps: 96722 | Missing taxon?: N | % Missing data: 99.8637123918475
Taxon: macaca_ochreata | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: macaca_pagensis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: macaca_radiata | Num gaps: 96722 | Missing taxon?: N | % Missing data: 99.8637123918475
Taxon: macaca_siberu | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: macaca_silenus | Num gaps: 96258 | Missing taxon?: N | % Missing data: 99.384640799554
Taxon: macaca_sinica | Num gaps: 96405 | Missing taxon?: N | % Missing data: 99.5364156359056
Taxon: macaca_sylvanus | Num gaps: 93350 | Missing taxon?: N | % Missing data: 96.3821834926797
