Parsing alignment ctenohystrica_mt3cp ... ... 
Length alignment: 3612
Number of taxa: 210
Taxon: abrocoma_bennettii | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_porteousi | Num gaps: 3006 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_pundti | Num gaps: 3006 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_rionegrensis | Num gaps: 279 | Missing taxon?: N | % Missing data: 7.72425249169435
Taxon: ctenomys_roigi | Num gaps: 3240 | Missing taxon?: N | % Missing data: 89.7009966777409
Taxon: ctenomys_saltarius | Num gaps: 3235 | Missing taxon?: N | % Missing data: 89.562569213732
Taxon: ctenomys_scagliai | Num gaps: 3006 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_sericeus | Num gaps: 3006 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_sociabilis | Num gaps: 14 | Missing taxon?: N | % Missing data: 0.387596899224806
Taxon: ctenomys_steinbachi | Num gaps: 3006 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_talarum | Num gaps: 3006 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_torquatus | Num gaps: 3006 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_tuconax | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ctenomys_tucumanus | Num gaps: 3006 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: cuniculus_paca | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: cuniculus_taczanowskii | Num gaps: 3343 | Missing taxon?: N | % Missing data: 92.5526024363234
Taxon: cuscomys_ashaninka~ | Num gaps: 3235 | Missing taxon?: N | % Missing data: 89.562569213732
Taxon: dactylomys_boliviensis | Num gaps: 3234 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: dactylomys_dactylinus | Num gaps: 3235 | Missing taxon?: N | % Missing data: 89.562569213732
Taxon: dasyprocta_fuliginosa | Num gaps: 3234 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: dasyprocta_leporina | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: dasyprocta_punctata | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: dinomys_branickii | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: diplomys_labilis | Num gaps: 3337 | Missing taxon?: N | % Missing data: 92.3864894795127
Taxon: dolichotis_patagonum | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: dolichotis_patagonum_centricola | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: dolichotis_salinicola | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: echimys_chrysurus | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: erethizon_dorsatum | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: euryzygomatomys_spinosus | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: fukomys_amatus | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: fukomys_anselli | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_bocagei | Num gaps: 3235 | Missing taxon?: N | % Missing data: 89.562569213732
Taxon: fukomys_choma | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: fukomys_darlingi | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: fukomys_foxi | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_kafuensis | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_mechowii | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: fukomys_micklemi | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: fukomys_ochraceocinereus | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_whytei | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: fukomys_whytei_occlusus | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: galea_musteloides | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: galea_musteloides_leucoblephara | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: galea_spixii | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: geocapromys_brownii | Num gaps: 3243 | Missing taxon?: N | % Missing data: 89.7840531561462
Taxon: geocapromys_ingrahami | Num gaps: 3278 | Missing taxon?: N | % Missing data: 90.7530454042082
Taxon: georychus_capensis | Num gaps: 3024 | Missing taxon?: N | % Missing data: 83.7209302325581
Taxon: heliophobius_argenteocinereus | Num gaps: 3234 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: heterocephalus_glaber | Num gaps: 15 | Missing taxon?: N | % Missing data: 0.415282392026578
Taxon: hoplomys_gymnurus | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: hydrochoerus_hydrochaeris | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: hystrix_africaeaustralis | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: hystrix_brachyura | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: hystrix_cristata | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: isothrix_barbarabrownae | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: isothrix_bistriata | Num gaps: 3234 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: isothrix_orinoci | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: isothrix_pagurus | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: isothrix_sinnamariensis | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: kannabateomys_amblyonyx | Num gaps: 3235 | Missing taxon?: N | % Missing data: 89.562569213732
Taxon: kerodon_acrobata | Num gaps: 3274 | Missing taxon?: N | % Missing data: 90.6423034330011
Taxon: kerodon_rupestris | Num gaps: 3236 | Missing taxon?: N | % Missing data: 89.5902547065338
Taxon: lagidium_viscacia | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: lagostomus_maximus | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: laonastes_aenigmamus | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: lonchothrix_emiliae | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: makalata_didelphoides | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: makalata_macrura | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: massoutiera_mzabi | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: mesocapromys_angelcabrerai | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: mesocapromys_auritus | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: mesocapromys_melanurus | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: mesomys_hispidus | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: mesomys_occultus | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: mesomys_stimulax | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: microcavia | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: myocastor_coypus | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: myoprocta_acouchy | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: myoprocta_pratti | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: mysateles_prehensilis | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: octodon_bridgesi | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: octodon_degus | Num gaps: 16 | Missing taxon?: N | % Missing data: 0.44296788482835
Taxon: octodon_lunatus | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: octodontomys_gliroides | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: octomys_mimax | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: olallamys_albicauda | Num gaps: 3336 | Missing taxon?: N | % Missing data: 92.358803986711
Taxon: pattonomys_occasius~ | Num gaps: 3337 | Missing taxon?: N | % Missing data: 92.3864894795127
Taxon: pattonomys_semivillosus~ | Num gaps: 3337 | Missing taxon?: N | % Missing data: 92.3864894795127
Taxon: petromus_typicus | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: phyllomys_aff_dasythrix | Num gaps: 3234 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: phyllomys_blainvillii | Num gaps: 3235 | Missing taxon?: N | % Missing data: 89.562569213732
Taxon: phyllomys_brasiliensis | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: phyllomys_dasythrix | Num gaps: 3239 | Missing taxon?: N | % Missing data: 89.6733111849391
Taxon: phyllomys_lamarum | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: phyllomys_lundi | Num gaps: 3235 | Missing taxon?: N | % Missing data: 89.562569213732
Taxon: phyllomys_mantiqueirensis | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.7286821705426
Taxon: phyllomys_nigrispinus | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: phyllomys_pattoni | Num gaps: 3234 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: phyllomys_sulinus | Num gaps: 3234 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: phyllomys_unicolor | Num gaps: 3292 | Missing taxon?: N | % Missing data: 91.140642303433
Taxon: pipanacoctomys_aureus | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: plagiodontia_aedium | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: proechimys_cuvieri | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: proechimys_guyannensis | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: proechimys_longicaudatus | Num gaps: 14 | Missing taxon?: N | % Missing data: 0.387596899224806
Taxon: proechimys_oris | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: proechimys_quadruplicatus | Num gaps: 3234 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: proechimys_roberti | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: proechimys_simonsi | Num gaps: 3235 | Missing taxon?: N | % Missing data: 89.562569213732
Taxon: santamartamys_rufodorsalis | Num gaps: 3336 | Missing taxon?: N | % Missing data: 92.358803986711
Taxon: spalacopus_cyanus | Num gaps: 13 | Missing taxon?: N | % Missing data: 0.359911406423034
Taxon: thrichomys_aff_apereoides | Num gaps: 3270 | Missing taxon?: N | % Missing data: 90.531561461794
Taxon: thrichomys_aff_inermis | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: thrichomys_apereoides_apereoides | Num gaps: 3248 | Missing taxon?: N | % Missing data: 89.922480620155
Taxon: thrichomys_fosteri | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: thrichomys_inermis | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: thrichomys_laurenteus | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: thrichomys_pachyurus | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: thryonomys_swinderianus | Num gaps: 16 | Missing taxon?: N | % Missing data: 0.44296788482835
Taxon: toromys_grandis | Num gaps: 3336 | Missing taxon?: N | % Missing data: 92.358803986711
Taxon: toromys_rhipidurus | Num gaps: 3337 | Missing taxon?: N | % Missing data: 92.3864894795127
Taxon: trichys_fasciculata | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: trinomys_albispinus | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: trinomys_dimidiatus | Num gaps: 13 | Missing taxon?: N | % Missing data: 0.359911406423034
Taxon: trinomys_eliasi | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: trinomys_gratiosus | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: trinomys_iheringi | Num gaps: 3234 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: trinomys_moojeni | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: trinomys_paratus | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: trinomys_setosus_elegans | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: trinomys_yonenagae | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: tympanoctomys_barrerae | Num gaps: 16 | Missing taxon?: N | % Missing data: 0.44296788482835
Taxon: tympanoctomys_loschalchalerosorum | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ornithorhynchus_anatinus | Num gaps: 240 | Missing taxon?: N | % Missing data: 6.64451827242525
Taxon: zaglossus_bruijni | Num gaps: 240 | Missing taxon?: N | % Missing data: 6.64451827242525
Taxon: tachyglossus_aculeatus | Num gaps: 240 | Missing taxon?: N | % Missing data: 6.64451827242525
Taxon: ictidomys_tridecemlineatus | Num gaps: 13 | Missing taxon?: N | % Missing data: 0.359911406423034
Taxon: fukomys_damarensis | Num gaps: 3232 | Missing taxon?: N | % Missing data: 89.4795127353267

Number of missing taxa = 36
Number of present taxa = 174
Total number of taxa = 210

Eq: num_gaps / ( num_taxa * len_aln ) --> (130032+502031)/((36+174)*3612)
Avg missing data before removing missing taxa = 0.83328455413173 = 83.328455413173%
Eq: num_gaps / ( num_taxa * len_aln ) --> 502031/(174*3612)
Avg missing data after removing missing taxa = 0.798791703262433 = 79.8791703262433%

